layer,modal,subj_type,n,share
statement,will,committee,270,0.445
statement,will,econ,138,0.227
statement,will,other,117,0.193
statement,will,it_there_rel,71,0.117
statement,will,fed,11,0.018
statement,would,committee,46,0.939
statement,would,it_there_rel,3,0.061
statement,could,it_there_rel,46,0.92
statement,could,econ,4,0.08
statement,should,econ,27,0.818
statement,should,it_there_rel,6,0.182
statement,may,econ,17,0.63
statement,may,other,5,0.185
statement,may,it_there_rel,5,0.185
min_staff_desk,will,other,15,0.429
min_staff_desk,will,it_there_rel,8,0.229
min_staff_desk,will,econ,5,0.143
min_staff_desk,will,fed,4,0.114
min_staff_desk,will,person,2,0.057
min_staff_desk,will,committee,1,0.029
min_staff_desk,would,other,141,0.459
min_staff_desk,would,it_there_rel,57,0.186
min_staff_desk,would,econ,55,0.179
min_staff_desk,would,committee,26,0.085
min_staff_desk,would,person,22,0.072
min_staff_desk,would,fed,5,0.016
min_staff_desk,would,none,1,0.003
min_staff_desk,could,other,50,0.362
min_staff_desk,could,econ,39,0.283
min_staff_desk,could,it_there_rel,37,0.268
min_staff_desk,could,person,4,0.029
min_staff_desk,could,committee,4,0.029
min_staff_desk,could,fed,4,0.029
min_staff_desk,should,other,14,0.519
min_staff_desk,should,committee,5,0.185
min_staff_desk,should,econ,5,0.185
min_staff_desk,should,it_there_rel,3,0.111
min_staff_desk,may,other,20,0.488
min_staff_desk,may,econ,12,0.293
min_staff_desk,may,it_there_rel,9,0.22
min_staff,would,econ,170,0.52
min_staff,would,other,114,0.349
min_staff,would,it_there_rel,31,0.095
min_staff,would,committee,7,0.021
min_staff,would,risks,4,0.012
min_staff,would,person,1,0.003
min_staff,could,econ,70,0.53
min_staff,could,other,42,0.318
min_staff,could,it_there_rel,18,0.136
min_staff,could,none,2,0.015
min_staff,may,econ,35,0.614
min_staff,may,other,18,0.316
min_staff,may,it_there_rel,3,0.053
min_staff,may,none,1,0.018
min_participants,will,econ,14,0.467
min_participants,will,other,7,0.233
min_participants,will,it_there_rel,5,0.167
min_participants,will,person,3,0.1
min_participants,will,none,1,0.033
min_participants,would,econ,613,0.399
min_participants,would,other,495,0.322
min_participants,would,it_there_rel,321,0.209
min_participants,would,person,61,0.04
min_participants,would,committee,26,0.017
min_participants,would,none,14,0.009
min_participants,would,fed,4,0.003
min_participants,would,risks,3,0.002
min_participants,could,other,335,0.383
min_participants,could,econ,266,0.304
min_participants,could,it_there_rel,213,0.243
min_participants,could,person,25,0.029
min_participants,could,committee,24,0.027
min_participants,could,risks,8,0.009
min_participants,could,none,4,0.005
min_participants,should,other,53,0.356
min_participants,should,econ,34,0.228
min_participants,should,committee,32,0.215
min_participants,should,it_there_rel,9,0.06
min_participants,should,person,9,0.06
min_participants,should,none,5,0.034
min_participants,should,fed,5,0.034
min_participants,should,risks,2,0.013
min_participants,may,econ,67,0.427
min_participants,may,other,64,0.408
min_participants,may,it_there_rel,17,0.108
min_participants,may,committee,3,0.019
min_participants,may,risks,3,0.019
min_participants,may,person,2,0.013
min_participants,may,none,1,0.006
min_committee,will,econ,11,0.297
min_committee,will,other,9,0.243
min_committee,will,it_there_rel,7,0.189
min_committee,will,committee,6,0.162
min_committee,will,person,4,0.108
min_committee,would,econ,198,0.275
min_committee,would,person,175,0.243
min_committee,would,other,158,0.22
min_committee,would,it_there_rel,112,0.156
min_committee,would,committee,74,0.103
min_committee,would,none,2,0.003
min_committee,could,it_there_rel,54,0.651
min_committee,could,other,16,0.193
min_committee,could,econ,10,0.12
min_committee,could,committee,3,0.036
min_committee,should,other,45,0.529
min_committee,should,econ,21,0.247
min_committee,should,committee,11,0.129
min_committee,should,person,3,0.035
min_committee,should,it_there_rel,3,0.035
min_committee,should,none,2,0.024
min_committee,may,econ,16,0.516
min_committee,may,it_there_rel,8,0.258
min_committee,may,other,6,0.194
min_committee,may,risks,1,0.032
min_special,will,other,25,0.51
min_special,will,committee,8,0.163
min_special,will,econ,7,0.143
min_special,will,it_there_rel,5,0.102
min_special,will,fed,3,0.061
min_special,will,person,1,0.02
min_special,would,other,152,0.442
min_special,would,it_there_rel,78,0.227
min_special,would,econ,64,0.186
min_special,would,person,23,0.067
min_special,would,committee,17,0.049
min_special,would,fed,6,0.017
min_special,would,none,4,0.012
min_special,could,other,122,0.431
min_special,could,econ,79,0.279
min_special,could,it_there_rel,52,0.184
min_special,could,committee,20,0.071
min_special,could,fed,4,0.014
min_special,could,person,3,0.011
min_special,could,none,2,0.007
min_special,could,risks,1,0.004
min_special,can,econ,8,0.381
min_special,can,other,7,0.333
min_special,can,it_there_rel,3,0.143
min_special,can,none,3,0.143
min_special,should,other,28,0.483
min_special,should,committee,10,0.172
min_special,should,econ,9,0.155
min_special,should,person,5,0.086
min_special,should,it_there_rel,3,0.052
min_special,should,none,1,0.017
min_special,should,fed,1,0.017
min_special,should,risks,1,0.017
min_special,may,other,14,0.5
min_special,may,it_there_rel,7,0.25
min_special,may,econ,6,0.214
min_special,may,person,1,0.036
min_statement_quote,will,committee,266,0.443
min_statement_quote,will,econ,138,0.23
min_statement_quote,will,other,116,0.193
min_statement_quote,will,it_there_rel,71,0.118
min_statement_quote,will,fed,10,0.017
min_statement_quote,would,committee,46,0.939
min_statement_quote,would,it_there_rel,3,0.061
min_statement_quote,could,it_there_rel,46,0.92
min_statement_quote,could,econ,4,0.08
min_statement_quote,should,econ,27,0.818
min_statement_quote,should,it_there_rel,6,0.182
min_statement_quote,may,econ,17,0.654
min_statement_quote,may,it_there_rel,5,0.192
