layer,modal,rank,predicate,n,share,cum_share,modal_n
pc_chair,will,1,continue,243,0.056,0.056,4341
pc_chair,will,2,have,216,0.0498,0.1057,4341
pc_chair,will,3,see,177,0.0408,0.1465,4341
pc_chair,will,4,do,151,0.0348,0.1813,4341
pc_chair,will,5,take,146,0.0336,0.2149,4341
pc_chair,will,6,look,143,0.0329,0.2479,4341
pc_chair,will,7,say,132,0.0304,0.2783,4341
pc_chair,will,8,be+appropriate,105,0.0242,0.3025,4341
pc_chair,will,9,be,105,0.0242,0.3267,4341
pc_chair,will,10,come,79,0.0182,0.3449,4341
pc_chair,will,11,make,69,0.0159,0.3607,4341
pc_chair,will,12,move,68,0.0157,0.3764,4341
pc_chair,will,13,depend,67,0.0154,0.3918,4341
pc_chair,will,14,go,60,0.0138,0.4057,4341
pc_chair,will,15,get,57,0.0131,0.4188,4341
pc_chair,would,1,say,662,0.2117,0.2117,3127
pc_chair,would,2,like,112,0.0358,0.2475,3127
pc_chair,would,3,want,108,0.0345,0.2821,3127
pc_chair,would,4,look,90,0.0288,0.3108,3127
pc_chair,would,5,be,90,0.0288,0.3396,3127
pc_chair,would,6,have,81,0.0259,0.3655,3127
pc_chair,would,7,expect,81,0.0259,0.3914,3127
pc_chair,would,8,take,72,0.023,0.4145,3127
pc_chair,would,9,point,62,0.0198,0.4343,3127
pc_chair,would,10,think,52,0.0166,0.4509,3127
pc_chair,would,11,do,45,0.0144,0.4653,3127
pc_chair,would,12,see,43,0.0138,0.4791,3127
pc_chair,would,13,be+appropriate,38,0.0122,0.4912,3127
pc_chair,would,14,need,31,0.0099,0.5011,3127
pc_chair,would,15,start,28,0.009,0.5101,3127
pc_chair,could,1,see,28,0.0447,0.0447,626
pc_chair,could,2,have,26,0.0415,0.0863,626
pc_chair,could,3,be,23,0.0367,0.123,626
pc_chair,could,4,do,18,0.0288,0.1518,626
pc_chair,could,5,affect,15,0.024,0.1757,626
pc_chair,could,6,come,14,0.0224,0.1981,626
pc_chair,could,7,happen,13,0.0208,0.2188,626
pc_chair,could,8,make,13,0.0208,0.2396,626
pc_chair,could,9,say,13,0.0208,0.2604,626
pc_chair,could,10,mean,11,0.0176,0.278,626
pc_chair,could,11,put,10,0.016,0.2939,626
pc_chair,could,12,weaken,10,0.016,0.3099,626
pc_chair,could,13,lead,9,0.0144,0.3243,626
pc_chair,could,14,use,9,0.0144,0.3387,626
pc_chair,could,15,change,9,0.0144,0.353,626
pc_chair,can,1,do,159,0.0988,0.0988,1610
pc_chair,can,2,see,100,0.0621,0.1609,1610
pc_chair,can,3,say,74,0.046,0.2068,1610
pc_chair,can,4,everything,52,0.0323,0.2391,1610
pc_chair,can,5,have,51,0.0317,0.2708,1610
pc_chair,can,6,look,50,0.0311,0.3019,1610
pc_chair,can,7,make,38,0.0236,0.3255,1610
pc_chair,can,8,think,36,0.0224,0.3478,1610
pc_chair,can,9,tell,34,0.0211,0.3689,1610
pc_chair,can,10,affect,33,0.0205,0.3894,1610
pc_chair,can,11,take,28,0.0174,0.4068,1610
pc_chair,can,12,get,28,0.0174,0.4242,1610
pc_chair,can,13,give,27,0.0168,0.441,1610
pc_chair,can,14,go,22,0.0137,0.4547,1610
pc_chair,can,15,find,19,0.0118,0.4665,1610
pc_chair,should,1,do,23,0.0463,0.0463,497
pc_chair,should,2,help,21,0.0423,0.0885,497
pc_chair,should,3,see,18,0.0362,0.1247,497
pc_chair,should,4,have,14,0.0282,0.1529,497
pc_chair,should,5,move,14,0.0282,0.1811,497
pc_chair,should,6,be,13,0.0262,0.2072,497
pc_chair,should,7,be+what,11,0.0221,0.2294,497
pc_chair,should,8,take,10,0.0201,0.2495,497
pc_chair,should,9,happen,9,0.0181,0.2676,497
pc_chair,should,10,come,8,0.0161,0.2837,497
pc_chair,should,11,go,8,0.0161,0.2998,497
pc_chair,should,12,assume,7,0.0141,0.3139,497
pc_chair,should,13,expect,7,0.0141,0.328,497
pc_chair,should,14,look,6,0.0121,0.34,497
pc_chair,should,15,support,6,0.0121,0.3521,497
pc_chair,may,1,be,38,0.0784,0.0784,485
pc_chair,may,2,take,23,0.0474,0.1258,485
pc_chair,may,3,have,22,0.0454,0.1711,485
pc_chair,may,4,be+appropriate,21,0.0433,0.2144,485
pc_chair,may,5,see,13,0.0268,0.2412,485
pc_chair,may,6,come,12,0.0247,0.266,485
pc_chair,may,7,need,12,0.0247,0.2907,485
pc_chair,may,8,change,8,0.0165,0.3072,485
pc_chair,may,9,warrant,8,0.0165,0.3237,485
pc_chair,may,10,continue,8,0.0165,0.3402,485
pc_chair,may,11,be+difficult,7,0.0144,0.3546,485
pc_chair,may,12,be+answer,6,0.0124,0.367,485
pc_chair,may,13,happen,6,0.0124,0.3794,485
pc_chair,may,14,affect,6,0.0124,0.3918,485
pc_chair,may,15,go,5,0.0103,0.4021,485
