layer,modal,subj_type,n,share
statement,will,committee,270,0.445
statement,will,econ,138,0.227
statement,will,other,117,0.193
statement,will,it_there_rel,71,0.117
statement,will,fed,11,0.018
statement,would,committee,46,0.939
statement,would,it_there_rel,3,0.061
statement,could,it_there_rel,46,0.92
statement,could,econ,4,0.08
statement,should,econ,27,0.818
statement,should,it_there_rel,6,0.182
statement,may,econ,17,0.63
statement,may,other,5,0.185
statement,may,it_there_rel,5,0.185
min_committee,will,econ,11,0.297
min_committee,will,other,9,0.243
min_committee,will,it_there_rel,7,0.189
min_committee,will,committee,6,0.162
min_committee,will,person,4,0.108
min_committee,would,econ,198,0.275
min_committee,would,person,175,0.243
min_committee,would,other,158,0.22
min_committee,would,it_there_rel,112,0.156
min_committee,would,committee,74,0.103
min_committee,would,none,2,0.003
min_committee,could,it_there_rel,54,0.651
min_committee,could,other,16,0.193
min_committee,could,econ,10,0.12
min_committee,could,committee,3,0.036
min_committee,should,other,45,0.529
min_committee,should,econ,21,0.247
min_committee,should,committee,11,0.129
min_committee,should,person,3,0.035
min_committee,should,it_there_rel,3,0.035
min_committee,should,none,2,0.024
min_committee,may,econ,16,0.516
min_committee,may,it_there_rel,8,0.258
min_committee,may,other,6,0.194
min_committee,may,risks,1,0.032
