key,unit,target,r2_base,r2_with,delta_r2,coef_text,p_text,n,q_text
minutes,ALL,cfnai_ma3_lead3,0.0553,0.0751,0.0198,-0.0981,0.4048,99,0.6358
minutes,ALL,d_vix_28,0.0527,0.0536,0.0008,-0.0871,0.6925,99,0.7915
minutes,could,cfnai_ma3_lead3,0.0553,0.1247,0.0694,-0.307,0.1697,99,0.5374
minutes,could,d_vix_28,0.0527,0.073,0.0202,-0.7243,0.0542,99,0.5374
minutes,may,cfnai_ma3_lead3,0.0553,0.0598,0.0045,0.1796,0.5223,99,0.6835
minutes,may,d_vix_28,0.0527,0.0602,0.0075,-1.0159,0.2835,99,0.5669
minutes,should,cfnai_ma3_lead3,0.0553,0.0558,0.0005,-0.0613,0.729,99,0.8185
minutes,should,d_vix_28,0.0527,0.0677,0.015,-1.511,0.0578,99,0.5374
minutes,will,cfnai_ma3_lead3,0.0553,0.0591,0.0037,-0.1729,0.2207,99,0.5669
minutes,will,d_vix_28,0.0527,0.0542,0.0015,-0.4786,0.575,99,0.7077
minutes,would,cfnai_ma3_lead3,0.0553,0.0566,0.0012,0.0331,0.6093,99,0.709
minutes,would,d_vix_28,0.0527,0.0813,0.0285,0.7021,0.2063,99,0.5669
minutes,would+be+appropriate,cfnai_ma3_lead3,0.0553,0.0554,0.0001,0.039,0.8561,99,0.9287
minutes,would+be+appropriate,d_vix_28,0.0527,0.0565,0.0038,1.0782,0.3768,99,0.6346
minutes,would+continue,cfnai_ma3_lead3,0.0553,0.0726,0.0172,0.4897,0.1688,99,0.5374
minutes,would+continue,d_vix_28,0.0527,0.0529,0.0002,0.2045,0.9144,99,0.9599
press_conf,ALL,cfnai_ma3_lead3,0.0707,0.0761,0.0054,0.0297,0.5004,80,0.6835
press_conf,ALL,d_vix_28,0.0173,0.0383,0.021,0.3327,0.34,80,0.6044
press_conf,can,cfnai_ma3_lead3,0.0707,0.0834,0.0126,0.1233,0.263,80,0.5669
press_conf,can,d_vix_28,0.0173,0.0173,0.0,0.0059,0.9909,80,0.9944
press_conf,could,cfnai_ma3_lead3,0.0707,0.1236,0.0528,0.4315,0.0773,80,0.5374
press_conf,could,d_vix_28,0.0173,0.0783,0.0611,-2.6179,0.1188,80,0.5374
press_conf,may,cfnai_ma3_lead3,0.0707,0.0824,0.0116,0.2541,0.2333,80,0.5669
press_conf,may,d_vix_28,0.0173,0.0635,0.0462,-2.8574,0.1633,80,0.5374
press_conf,should,cfnai_ma3_lead3,0.0707,0.087,0.0162,0.2581,0.1478,80,0.5374
press_conf,should,d_vix_28,0.0173,0.023,0.0058,-0.8685,0.319,80,0.6004
press_conf,will,cfnai_ma3_lead3,0.0707,0.0913,0.0206,-0.0683,0.4092,80,0.6358
press_conf,will,d_vix_28,0.0173,0.174,0.1567,1.0628,0.0708,80,0.5374
press_conf,will+continue,cfnai_ma3_lead3,0.0707,0.0767,0.0059,-0.2463,0.5099,80,0.6835
press_conf,will+continue,d_vix_28,0.0173,0.0941,0.0768,4.994,0.2832,80,0.5669
press_conf,will+have,cfnai_ma3_lead3,0.0707,0.0707,0.0,-0.002,0.9944,80,0.9944
press_conf,will+have,d_vix_28,0.0173,0.0424,0.0251,-3.9113,0.2767,80,0.5669
press_conf,will+take,cfnai_ma3_lead3,0.0707,0.0715,0.0008,-0.1266,0.6063,80,0.709
press_conf,will+take,d_vix_28,0.0173,0.0609,0.0436,-5.2791,0.1134,80,0.5374
press_conf,would,cfnai_ma3_lead3,0.0707,0.0809,0.0101,0.0684,0.1503,80,0.5374
press_conf,would,d_vix_28,0.0173,0.0388,0.0215,-0.5628,0.0521,80,0.5374
press_conf,would+say,cfnai_ma3_lead3,0.0707,0.0708,0.0,-0.0083,0.9149,80,0.9599
press_conf,would+say,d_vix_28,0.0173,0.025,0.0077,0.8216,0.5077,80,0.6835
speech,ALL,cfnai_ma3_lead3,0.451,0.4544,0.0034,0.008,0.2834,123,0.5669
speech,ALL,d_vix_28,0.3007,0.3094,0.0086,-0.0732,0.1747,124,0.5374
