level,key,unit,macro,rho_T1,p_T1,rho_T2,p_T2,rho_T3,rho_H1,rho_H2,n_tokens_T1,zero_share_T1,T1_only,era_composition,confirmed,unit_level
genre,minutes,ALL,cfnai,0.079,0.4378,0.153,0.1472,0.085,0.218,0.046,5589,0.0,False,False,False,modal
genre,minutes,ALL,vix,0.066,0.5132,-0.008,0.9406,-0.065,0.215,-0.022,5589,0.0,False,False,False,modal
genre,minutes,can,cfnai,0.012,0.9029,0.11,0.2994,0.055,0.03,0.197,39,0.727,False,False,False,modal
genre,minutes,can,vix,0.133,0.189,0.152,0.1495,0.096,0.175,0.286,39,0.727,False,False,False,modal
genre,minutes,could,cfnai,-0.081,0.4281,-0.098,0.3572,-0.049,-0.061,-0.087,1511,0.0,False,False,False,modal
genre,minutes,could,vix,0.219,0.0293,0.225,0.0317,0.092,0.341,-0.043,1511,0.0,True,True,False,modal
genre,minutes,may,cfnai,-0.092,0.3646,-0.031,0.7722,-0.031,0.192,-0.168,314,0.101,False,False,False,modal
genre,minutes,may,vix,-0.232,0.0208,-0.176,0.0951,-0.329,0.158,-0.558,314,0.101,True,False,False,modal
genre,minutes,should,cfnai,0.012,0.9044,0.064,0.5478,0.042,-0.006,0.082,324,0.091,False,False,False,modal
genre,minutes,should,vix,-0.14,0.1665,-0.093,0.3817,-0.168,0.087,-0.178,324,0.091,False,False,False,modal
genre,minutes,will,cfnai,-0.091,0.3715,-0.13,0.2182,-0.074,0.029,-0.227,167,0.374,False,False,False,modal
genre,minutes,will,vix,-0.172,0.0887,-0.157,0.1383,-0.184,0.078,-0.288,167,0.374,False,False,False,modal
genre,minutes,would,cfnai,0.209,0.0377,0.292,0.0049,0.175,0.255,0.21,3234,0.0,False,False,True,modal
genre,minutes,would,vix,0.145,0.1518,0.031,0.7724,0.043,-0.025,0.271,3234,0.0,False,False,False,modal
genre,statement,ALL,cfnai,-0.124,0.2158,-0.178,0.0909,-0.096,0.175,-0.518,770,0.0,False,False,False,modal
genre,statement,ALL,vix,0.061,0.5425,0.045,0.6729,-0.116,-0.405,-0.472,770,0.0,False,False,False,modal
genre,statement,could,cfnai,-0.062,0.535,-0.167,0.1127,-0.017,0.094,-0.438,50,0.505,False,False,False,modal
genre,statement,could,vix,0.332,0.0007,0.451,0.0,0.182,-0.083,-0.012,50,0.505,True,True,False,modal
genre,statement,should,cfnai,-0.012,0.9054,-0.028,0.7928,-0.061,-0.086,,33,0.733,False,False,False,modal
genre,statement,should,vix,-0.337,0.0006,-0.305,0.0032,-0.363,-0.059,,33,0.733,False,False,False,modal
genre,statement,will,cfnai,-0.049,0.6252,-0.07,0.509,-0.05,0.179,-0.331,607,0.0,False,False,False,modal
genre,statement,will,vix,-0.186,0.062,-0.339,0.001,-0.259,-0.443,-0.416,607,0.0,False,False,False,modal
genre,statement,would,cfnai,-0.018,0.8561,-0.106,0.3153,-0.01,0.121,-0.196,49,0.535,False,False,False,modal
genre,statement,would,vix,0.338,0.0005,0.455,0.0,0.221,-0.216,-0.048,49,0.535,True,True,False,modal
layer,min_committee,ALL,cfnai,0.009,0.9261,-0.019,0.8556,0.101,0.179,-0.223,958,0.0,False,False,False,modal
layer,min_committee,ALL,vix,0.122,0.2303,0.098,0.3542,0.097,-0.114,-0.18,958,0.0,False,False,False,modal
layer,min_committee,could,cfnai,-0.251,0.0122,-0.37,0.0003,-0.13,-0.415,-0.548,83,0.293,False,False,True,modal
layer,min_committee,could,vix,0.245,0.0144,0.337,0.0011,0.255,0.19,-0.12,83,0.293,True,True,False,modal
layer,min_committee,should,cfnai,-0.136,0.1794,-0.187,0.0755,-0.075,-0.277,-0.116,85,0.455,False,False,False,modal
layer,min_committee,should,vix,-0.022,0.8306,0.087,0.4135,-0.079,0.185,-0.143,85,0.455,False,False,False,modal
layer,min_committee,will,cfnai,-0.159,0.115,-0.232,0.0266,-0.154,-0.247,-0.227,37,0.778,False,False,False,modal
layer,min_committee,will,vix,-0.003,0.9734,0.02,0.8488,-0.011,0.21,-0.151,37,0.778,False,False,False,modal
layer,min_committee,would,cfnai,0.257,0.0103,0.304,0.0034,0.27,0.327,0.278,719,0.0,False,False,True,modal
layer,min_committee,would,vix,0.116,0.2549,-0.019,0.8554,0.095,-0.311,0.277,719,0.0,False,False,False,modal
layer,min_participants,ALL,cfnai,-0.091,0.373,-0.005,0.9595,-0.069,0.098,-0.074,2756,0.0,False,False,False,modal
layer,min_participants,ALL,vix,0.144,0.1562,0.064,0.5486,0.025,-0.009,-0.045,2756,0.0,False,False,False,modal
layer,min_participants,could,cfnai,-0.175,0.0834,-0.227,0.0301,-0.174,-0.182,-0.188,875,0.0,False,False,False,modal
layer,min_participants,could,vix,0.124,0.2204,0.075,0.4782,0.059,0.058,-0.116,875,0.0,False,False,False,modal
layer,min_participants,may,cfnai,-0.031,0.7621,-0.003,0.9787,0.027,0.191,-0.141,157,0.323,False,False,False,modal
layer,min_participants,may,vix,-0.12,0.2355,-0.083,0.4351,-0.207,0.113,-0.537,157,0.323,False,False,False,modal
layer,min_participants,should,cfnai,0.029,0.7734,0.147,0.1655,0.023,0.13,0.135,149,0.283,False,False,False,modal
layer,min_participants,should,vix,-0.239,0.0174,-0.244,0.0199,-0.292,-0.085,-0.155,149,0.283,False,False,True,modal
layer,min_participants,would,cfnai,0.017,0.8637,0.131,0.2167,0.012,0.138,0.036,1537,0.0,False,False,False,modal
layer,min_participants,would,vix,0.24,0.0166,0.175,0.0978,0.145,-0.044,0.282,1537,0.0,True,False,False,modal
layer,min_special,ALL,cfnai,0.196,0.2246,0.21,0.2182,0.273,,,783,0.0,False,False,False,modal
layer,min_special,ALL,vix,-0.161,0.3205,-0.139,0.4188,-0.033,,,783,0.0,False,False,False,modal
layer,min_special,could,cfnai,0.053,0.7439,0.204,0.2325,0.138,,,283,0.2,False,False,False,modal
layer,min_special,could,vix,0.293,0.0664,0.278,0.1009,0.315,,,283,0.2,False,False,False,modal
