layer,series,metric,trend,p,tau,sen_slope,n
pc_chair,ALL,per1k,no trend,0.5036,-0.0513,-0.0071,80
pc_chair,can,per1k,increasing,0.0006,0.262,0.0184,80
pc_chair,can,share,increasing,0.0001,0.3003,0.001,80
pc_chair,could,per1k,no trend,0.1743,-0.1038,-0.0036,80
pc_chair,could,share,no trend,0.3167,-0.0766,-0.0002,80
pc_chair,may,per1k,no trend,0.5359,-0.0475,-0.0014,80
pc_chair,may,share,no trend,0.5805,-0.0424,-0.0001,80
pc_chair,should,per1k,no trend,0.0555,-0.1462,-0.0045,80
pc_chair,should,share,no trend,0.0669,-0.1399,-0.0002,80
pc_chair,will,per1k,no trend,0.6687,-0.0329,-0.0046,80
pc_chair,will,share,no trend,0.7522,-0.0244,-0.0001,80
pc_chair,would,per1k,no trend,0.0576,-0.1449,-0.0161,80
pc_chair,would,share,no trend,0.0901,-0.1294,-0.0006,80
statement,ALL,per1k,increasing,0.0,0.344,0.0667,101
statement,can,per1k,no trend,0.1367,-0.0341,0.0,101
statement,can,share,no trend,0.1485,-0.0331,0.0,101
statement,could,per1k,increasing,0.0,0.5756,0.0431,101
statement,could,share,increasing,0.0,0.5543,0.002,101
statement,may,per1k,decreasing,0.0175,-0.1232,0.0,101
statement,may,share,decreasing,0.0059,-0.1426,0.0,101
statement,should,per1k,decreasing,0.0,-0.3943,0.0,101
statement,should,share,decreasing,0.0,-0.4321,0.0,101
statement,will,per1k,no trend,0.7827,0.0188,0.0025,101
statement,will,share,decreasing,0.0,-0.3418,-0.0021,101
statement,would,per1k,increasing,0.0,0.5927,0.0431,101
statement,would,share,increasing,0.0,0.5693,0.002,101
