layer,year,can,could,may,will,would
min_committee,2014,0,0,0,1,9
min_committee,2015,0,0,0,4,3
min_committee,2016,0,0,0,0,3
min_committee,2017,0,0,0,0,1
min_committee,2018,0,0,0,0,3
min_committee,2019,0,0,4,0,0
min_committee,2020,0,0,0,1,11
min_committee,2021,0,0,0,0,15
min_committee,2022,0,0,0,0,12
min_committee,2023,0,0,8,0,1
min_committee,2024,0,0,1,1,5
min_participants,2014,0,0,0,0,4
min_participants,2015,0,0,0,2,7
min_participants,2016,0,0,0,0,7
min_participants,2017,0,0,0,0,9
min_participants,2018,0,0,0,0,14
min_participants,2019,0,1,2,0,8
min_participants,2020,0,0,0,0,22
min_participants,2021,0,1,0,0,8
min_participants,2022,0,2,0,0,24
min_participants,2023,0,0,8,0,13
min_participants,2024,0,0,0,0,12
min_participants,2025,0,1,1,0,12
min_participants,2026,0,2,0,0,3
min_special,2014,0,0,0,0,1
min_special,2015,0,1,0,0,1
min_special,2016,0,0,0,0,2
min_special,2017,0,0,0,0,4
min_special,2018,0,1,0,0,0
min_special,2019,0,1,0,0,3
min_special,2021,0,2,2,0,2
min_special,2022,0,1,2,1,6
min_special,2024,0,0,0,0,1
min_special,2025,0,0,0,0,3
min_staff,2024,0,1,0,0,0
min_staff_desk,2014,0,0,0,0,1
min_staff_desk,2015,0,0,0,1,3
min_staff_desk,2016,0,0,1,0,2
min_staff_desk,2018,0,0,0,0,1
min_staff_desk,2022,0,0,1,0,0
min_staff_desk,2023,0,0,0,0,1
speech_chair,2014,0,0,2,1,1
speech_chair,2015,0,0,2,5,4
speech_chair,2016,0,0,0,4,1
speech_chair,2017,0,0,0,2,3
speech_chair,2018,0,0,0,1,0
speech_chair,2019,0,0,1,1,1
speech_chair,2020,0,0,0,1,0
speech_chair,2021,0,1,0,1,0
speech_chair,2022,0,1,0,3,0
speech_chair,2023,0,0,1,1,0
speech_chair,2024,1,0,0,1,0
speech_chair,2025,0,0,0,0,1
statement,2014,0,0,0,9,0
statement,2015,0,0,0,7,0
statement,2019,0,0,3,0,0
statement,2020,0,0,0,3,0
statement,2021,0,0,0,10,0
statement,2022,0,0,0,8,0
statement,2023,0,0,7,1,0
statement,2024,0,0,0,5,0
