event,event_date,layer,series,pre3,at,post3
QE3 ends,2014-10-29,speech_chair,ALL,13.085,5.071,15.484
QE3 ends,2014-10-29,speech_chair,can,2.394,0.0,1.908
QE3 ends,2014-10-29,speech_chair,can/activity,0.717,0.0,0.26
QE3 ends,2014-10-29,speech_chair,can/other,0.546,0.0,0.655
QE3 ends,2014-10-29,speech_chair,could,1.903,2.028,1.996
QE3 ends,2014-10-29,speech_chair,may,2.314,1.014,1.676
QE3 ends,2014-10-29,speech_chair,should,0.362,0.0,1.465
QE3 ends,2014-10-29,speech_chair,will,3.758,2.028,5.847
QE3 ends,2014-10-29,speech_chair,will/activity,0.242,0.0,0.67
QE3 ends,2014-10-29,speech_chair,will/occurrence,0.671,0.0,0.23
QE3 ends,2014-10-29,speech_chair,will/other,0.928,0.0,1.047
QE3 ends,2014-10-29,speech_chair,would,2.355,0.0,2.592
QE3 ends,2014-10-29,speech_chair,would/other,0.671,0.0,0.867
First hike (liftoff),2015-12-16,speech_chair,ALL,11.309,19.489,15.38
First hike (liftoff),2015-12-16,speech_chair,can,1.082,1.647,1.229
First hike (liftoff),2015-12-16,speech_chair,can/activity,0.089,0.274,0.083
First hike (liftoff),2015-12-16,speech_chair,can/other,0.586,0.274,0.165
First hike (liftoff),2015-12-16,speech_chair,could,1.171,3.019,2.401
First hike (liftoff),2015-12-16,speech_chair,may,1.616,1.921,1.56
First hike (liftoff),2015-12-16,speech_chair,should,0.808,0.549,0.828
First hike (liftoff),2015-12-16,speech_chair,will,4.398,8.235,5.593
First hike (liftoff),2015-12-16,speech_chair,will/activity,0.0,1.372,0.497
First hike (liftoff),2015-12-16,speech_chair,will/occurrence,0.089,2.196,0.746
First hike (liftoff),2015-12-16,speech_chair,will/other,1.348,0.549,0.828
First hike (liftoff),2015-12-16,speech_chair,would,2.233,4.117,3.769
First hike (liftoff),2015-12-16,speech_chair,would/other,0.536,0.274,1.298
Normalization addendum,2017-06-14,speech_chair,ALL,12.033,7.775,11.802
Normalization addendum,2017-06-14,speech_chair,can,3.41,0.502,0.849
Normalization addendum,2017-06-14,speech_chair,can/activity,1.154,0.0,0.0
Normalization addendum,2017-06-14,speech_chair,can/other,1.46,0.0,0.26
Normalization addendum,2017-06-14,speech_chair,could,1.099,0.752,2.372
Normalization addendum,2017-06-14,speech_chair,may,1.7,2.007,1.633
Normalization addendum,2017-06-14,speech_chair,should,1.029,1.003,0.789
Normalization addendum,2017-06-14,speech_chair,will,3.167,2.759,4.645
Normalization addendum,2017-06-14,speech_chair,will/activity,0.585,0.251,0.2
