layer,modal,rank,predicate,n,share,cum_share,modal_n
min_committee,will,1,take,11,0.2973,0.2973,37
min_committee,will,2,be+appropriate,7,0.1892,0.4865,37
min_committee,will,3,move,5,0.1351,0.6216,37
min_committee,will,4,continue,4,0.1081,0.7297,37
min_committee,will,5,warrant,2,0.0541,0.7838,37
min_committee,will,6,rise,2,0.0541,0.8378,37
min_committee,will,7,follow,1,0.027,0.8649,37
min_committee,will,8,return,1,0.027,0.8919,37
min_committee,will,9,evaluate,1,0.027,0.9189,37
min_committee,will,10,be+patient,1,0.027,0.9459,37
min_committee,will,11,aim,1,0.027,0.973,37
min_committee,will,12,assess,1,0.027,1.0,37
min_committee,would,1,continue,109,0.1516,0.1516,719
min_committee,would,2,take,86,0.1196,0.2712,719
min_committee,would,3,be+appropriate,63,0.0876,0.3588,719
min_committee,would,4,depend,51,0.0709,0.4298,719
min_committee,would,5,assess,49,0.0682,0.4979,719
min_committee,would,6,be+prepared,46,0.064,0.5619,719
min_committee,would,7,expand,29,0.0403,0.6022,719
min_committee,would,8,remain,27,0.0376,0.6398,719
min_committee,would,9,warrant,21,0.0292,0.669,719
min_committee,would,10,evolve,20,0.0278,0.6968,719
min_committee,would,11,monitor,15,0.0209,0.7177,719
min_committee,would,12,rise,15,0.0209,0.7385,719
min_committee,would,13,increase,12,0.0167,0.7552,719
min_committee,would,14,add,12,0.0167,0.7719,719
min_committee,would,15,strengthen,12,0.0167,0.7886,719
min_committee,could,1,impede,46,0.5542,0.5542,83
min_committee,could,2,be+patient,3,0.0361,0.5904,83
min_committee,could,3,have,2,0.0241,0.6145,83
min_committee,could,4,help,2,0.0241,0.6386,83
min_committee,could,5,persist,2,0.0241,0.6627,83
min_committee,could,6,misinterpret,2,0.0241,0.6867,83
min_committee,could,7,lead,2,0.0241,0.7108,83
min_committee,could,8,necessitate,1,0.012,0.7229,83
min_committee,could,9,become,1,0.012,0.7349,83
min_committee,could,10,cause,1,0.012,0.747,83
min_committee,could,11,leave,1,0.012,0.759,83
min_committee,could,12,be+beneficial,1,0.012,0.7711,83
min_committee,could,13,push,1,0.012,0.7831,83
min_committee,could,14,change,1,0.012,0.7952,83
min_committee,could,15,remove,1,0.012,0.8072,83
min_committee,should,1,help,20,0.2353,0.2353,85
min_committee,should,2,affirm,14,0.1647,0.4,85
min_committee,should,3,note,9,0.1059,0.5059,85
min_committee,should,4,acknowledge,8,0.0941,0.6,85
min_committee,should,5,continue,4,0.0471,0.6471,85
min_committee,should,6,indicate,3,0.0353,0.6824,85
min_committee,should,7,reflect,2,0.0235,0.7059,85
min_committee,should,8,await,2,0.0235,0.7294,85
min_committee,should,9,update,2,0.0235,0.7529,85
min_committee,should,10,monitor,2,0.0235,0.7765,85
min_committee,should,11,incorporate,2,0.0235,0.8,85
min_committee,should,12,change,1,0.0118,0.8118,85
min_committee,should,13,view,1,0.0118,0.8235,85
min_committee,should,14,convey,1,0.0118,0.8353,85
min_committee,should,15,say,1,0.0118,0.8471,85
min_committee,may,1,warrant,14,0.4516,0.4516,31
min_committee,may,2,be+appropriate,13,0.4194,0.871,31
min_committee,may,3,become,1,0.0323,0.9032,31
min_committee,may,4,move,1,0.0323,0.9355,31
min_committee,may,5,decline,1,0.0323,0.9677,31
min_committee,may,6,increase,1,0.0323,1.0,31
speech_chair,will,1,continue,77,0.0659,0.0659,1169
speech_chair,will,2,discuss,55,0.047,0.1129,1169
speech_chair,will,3,need,36,0.0308,0.1437,1169
speech_chair,will,4,take,28,0.024,0.1677,1169
speech_chair,will,5,turn,21,0.018,0.1856,1169
speech_chair,will,6,be+appropriate,21,0.018,0.2036,1169
speech_chair,will,7,help,21,0.018,0.2216,1169
speech_chair,will,8,remain,21,0.018,0.2395,1169
speech_chair,will,9,have,20,0.0171,0.2566,1169
speech_chair,will,10,focus,19,0.0163,0.2729,1169
speech_chair,will,11,move,18,0.0154,0.2883,1169
speech_chair,will,12,require,15,0.0128,0.3011,1169
speech_chair,will,13,depend,15,0.0128,0.3139,1169
speech_chair,will,14,make,14,0.012,0.3259,1169
speech_chair,will,15,do,14,0.012,0.3379,1169
speech_chair,would,1,like,54,0.0942,0.0942,573
speech_chair,would,2,expect,15,0.0262,0.1204,573
speech_chair,would,3,have,15,0.0262,0.1466,573
speech_chair,would,4,be+appropriate,11,0.0192,0.1658,573
speech_chair,would,5,need,10,0.0175,0.1832,573
speech_chair,would,6,remain,8,0.014,0.1972,573
speech_chair,would,7,require,8,0.014,0.2112,573
speech_chair,would,8,continue,8,0.014,0.2251,573
speech_chair,would,9,move,7,0.0122,0.2373,573
speech_chair,would,10,do,7,0.0122,0.2496,573
speech_chair,would,11,be+consistent,7,0.0122,0.2618,573
speech_chair,would,12,increase,6,0.0105,0.2723,573
speech_chair,would,13,risk,6,0.0105,0.2827,573
speech_chair,would,14,make,6,0.0105,0.2932,573
speech_chair,would,15,rise,6,0.0105,0.3037,573
