layer,modal,n,neg,passive,perfect,progressive,cond,reported,question,contracted
min_committee,will,37,0.0,0.0,0.0,0.0,0.216,0.622,0.0,0.0
min_committee,would,719,0.0,0.017,0.001,0.01,0.164,0.786,0.0,0.0
min_committee,could,83,0.0,0.06,0.0,0.0,0.614,0.277,0.0,0.0
min_committee,should,85,0.012,0.082,0.0,0.0,0.047,0.741,0.0,0.0
min_committee,may,31,0.0,0.065,0.097,0.0,0.129,0.323,0.0,0.0
pc_chair,will,4341,0.044,0.025,0.006,0.071,0.158,0.196,0.024,0.281
pc_chair,would,3127,0.103,0.017,0.02,0.019,0.23,0.169,0.025,0.095
pc_chair,could,626,0.037,0.061,0.027,0.011,0.291,0.142,0.024,0.0
pc_chair,can,1610,0.17,0.03,0.001,0.003,0.195,0.153,0.022,0.0
pc_chair,should,497,0.103,0.072,0.012,0.066,0.181,0.231,0.012,0.0
pc_chair,may,485,0.101,0.058,0.064,0.06,0.181,0.159,0.006,0.0
speech_chair,will,1169,0.034,0.049,0.003,0.024,0.157,0.132,0.015,0.008
speech_chair,would,573,0.047,0.065,0.082,0.009,0.288,0.157,0.01,0.009
speech_chair,could,355,0.017,0.073,0.039,0.014,0.282,0.115,0.014,0.0
speech_chair,can,514,0.123,0.117,0.0,0.004,0.212,0.066,0.045,0.0
speech_chair,should,210,0.081,0.186,0.01,0.033,0.162,0.214,0.076,0.0
speech_chair,may,382,0.055,0.097,0.118,0.068,0.191,0.092,0.01,0.0
