key,unit,target,r2_base,r2_with,delta_r2,coef_text,p_text,n,q_text
minutes,ALL,cfnai_ma3_lead3,0.0553,0.1222,0.0669,0.0846,0.1529,99,0.4077
minutes,ALL,d_vix_28,0.0527,0.0561,0.0033,-0.0823,0.2095,99,0.4345
minutes,could,cfnai_ma3_lead3,0.0553,0.0652,0.0099,-0.0903,0.2201,99,0.4402
minutes,could,d_vix_28,0.0527,0.0529,0.0002,0.0513,0.8,99,0.8615
minutes,should,cfnai_ma3_lead3,0.0553,0.0623,0.007,0.0563,0.3899,99,0.5589
minutes,should,d_vix_28,0.0527,0.0551,0.0024,-0.1439,0.3999,99,0.5589
minutes,would,cfnai_ma3_lead3,0.0553,0.1169,0.0615,0.0776,0.0239,99,0.4077
minutes,would,d_vix_28,0.0527,0.0529,0.0001,0.015,0.8548,99,0.9032
press_conf,ALL,cfnai_ma3_lead3,0.0707,0.0761,0.0054,0.0297,0.5004,80,0.6368
press_conf,ALL,d_vix_28,0.0173,0.0383,0.021,0.3327,0.34,80,0.5289
press_conf,can,cfnai_ma3_lead3,0.0707,0.0834,0.0126,0.1233,0.263,80,0.475
press_conf,can,d_vix_28,0.0173,0.0173,0.0,0.0059,0.9909,80,0.9909
press_conf,can/activity,cfnai_ma3_lead3,0.0707,0.081,0.0103,0.2714,0.2078,80,0.4345
press_conf,can/activity,d_vix_28,0.0173,0.02,0.0027,-0.7922,0.4889,80,0.6368
press_conf,could,cfnai_ma3_lead3,0.0707,0.1236,0.0528,0.4315,0.0773,80,0.4077
press_conf,could,d_vix_28,0.0173,0.0783,0.0611,-2.6179,0.1188,80,0.4077
press_conf,may,cfnai_ma3_lead3,0.0707,0.0824,0.0116,0.2541,0.2333,80,0.4506
press_conf,may,d_vix_28,0.0173,0.0635,0.0462,-2.8574,0.1633,80,0.4077
press_conf,should,cfnai_ma3_lead3,0.0707,0.087,0.0162,0.2581,0.1478,80,0.4077
press_conf,should,d_vix_28,0.0173,0.023,0.0058,-0.8685,0.319,80,0.5103
press_conf,will,cfnai_ma3_lead3,0.0707,0.0913,0.0206,-0.0683,0.4092,80,0.5589
press_conf,will,d_vix_28,0.0173,0.174,0.1567,1.0628,0.0708,80,0.4077
press_conf,will/activity,cfnai_ma3_lead3,0.0707,0.0805,0.0098,-0.1236,0.366,80,0.554
press_conf,will/activity,d_vix_28,0.0173,0.156,0.1387,2.6286,0.1062,80,0.4077
press_conf,will/mental,cfnai_ma3_lead3,0.0707,0.0776,0.0068,-0.181,0.1017,80,0.4077
press_conf,will/mental,d_vix_28,0.0173,0.0187,0.0014,0.4679,0.6111,80,0.713
press_conf,will/other,cfnai_ma3_lead3,0.0707,0.0728,0.0021,0.1326,0.6755,80,0.7566
press_conf,will/other,d_vix_28,0.0173,0.0328,0.0156,2.0534,0.1506,80,0.4077
press_conf,would,cfnai_ma3_lead3,0.0707,0.0809,0.0101,0.0684,0.1503,80,0.4077
press_conf,would,d_vix_28,0.0173,0.0388,0.0215,-0.5628,0.0521,80,0.4077
press_conf,would/communication,cfnai_ma3_lead3,0.0707,0.0728,0.0021,0.0727,0.2714,80,0.475
press_conf,would/communication,d_vix_28,0.0173,0.0202,0.003,0.4895,0.5803,80,0.6915
press_conf,would/other,cfnai_ma3_lead3,0.0707,0.0822,0.0115,0.2529,0.1167,80,0.4077
press_conf,would/other,d_vix_28,0.0173,0.062,0.0447,-2.8178,0.0425,80,0.4077
speech,ALL,cfnai_ma3_lead3,0.451,0.4544,0.0034,0.008,0.2834,123,0.4808
speech,ALL,d_vix_28,0.3007,0.3094,0.0086,-0.0732,0.1747,124,0.4077
speech,can,cfnai_ma3_lead3,0.451,0.459,0.008,0.0339,0.174,123,0.4077
speech,can,d_vix_28,0.3007,0.3066,0.0059,-0.1665,0.295,124,0.486
speech,can/activity,cfnai_ma3_lead3,0.451,0.467,0.016,0.103,0.117,123,0.4077
speech,can/activity,d_vix_28,0.3007,0.324,0.0233,-0.7077,0.0297,124,0.4077
speech,could,cfnai_ma3_lead3,0.451,0.4562,0.0052,0.0373,0.1163,123,0.4077
speech,could,d_vix_28,0.3007,0.306,0.0053,-0.2174,0.2669,124,0.475
speech,may,cfnai_ma3_lead3,0.451,0.4519,0.0008,-0.0132,0.5339,123,0.6645
speech,may,d_vix_28,0.3007,0.3184,0.0177,-0.346,0.0324,124,0.4077
speech,should,cfnai_ma3_lead3,0.451,0.4555,0.0045,0.0448,0.4036,123,0.5589
speech,should,d_vix_28,0.3007,0.3295,0.0288,-0.65,0.0094,124,0.4077
speech,will,cfnai_ma3_lead3,0.451,0.4513,0.0003,-0.0035,0.7707,123,0.8462
speech,will,d_vix_28,0.3007,0.3146,0.0139,0.1488,0.2038,124,0.4345
speech,will/activity,cfnai_ma3_lead3,0.451,0.4519,0.0009,-0.0206,0.6242,123,0.7134
speech,will/activity,d_vix_28,0.3007,0.3105,0.0098,0.3877,0.1592,124,0.4077
speech,will/other,cfnai_ma3_lead3,0.451,0.4511,0.0001,0.0036,0.8987,123,0.915
speech,will/other,d_vix_28,0.3007,0.3027,0.002,0.1238,0.5603,124,0.6822
speech,would,cfnai_ma3_lead3,0.451,0.4524,0.0014,0.0152,0.4852,123,0.6368
speech,would,d_vix_28,0.3007,0.3185,0.0178,-0.3155,0.0812,124,0.4077
speech,would/other,cfnai_ma3_lead3,0.451,0.4571,0.0061,0.0741,0.1637,123,0.4077
speech,would/other,d_vix_28,0.3007,0.3008,0.0001,0.0535,0.8845,124,0.915
