event,event_date,layer,series,pre3,at,post3
QE3 ends,2014-10-29,pc_chair,ALL,19.907,21.147,21.249
QE3 ends,2014-10-29,pc_chair,can,1.426,3.214,2.725
QE3 ends,2014-10-29,pc_chair,can/activity,0.178,0.508,0.582
QE3 ends,2014-10-29,pc_chair,could,1.437,1.692,1.132
QE3 ends,2014-10-29,pc_chair,may,0.924,1.692,0.763
QE3 ends,2014-10-29,pc_chair,should,0.814,1.015,1.4
QE3 ends,2014-10-29,pc_chair,will,8.501,9.643,9.332
QE3 ends,2014-10-29,pc_chair,will/activity,1.079,1.015,1.057
QE3 ends,2014-10-29,pc_chair,will/mental,1.196,2.368,1.265
QE3 ends,2014-10-29,pc_chair,will/other,0.902,0.338,0.6
QE3 ends,2014-10-29,pc_chair,would,6.805,3.891,5.897
QE3 ends,2014-10-29,pc_chair,would/communication,1.445,0.338,0.84
QE3 ends,2014-10-29,pc_chair,would/mental,1.233,0.846,1.06
First hike (liftoff),2015-12-16,pc_chair,ALL,21.249,19.399,17.742
First hike (liftoff),2015-12-16,pc_chair,can,2.725,0.431,1.747
First hike (liftoff),2015-12-16,pc_chair,can/activity,0.582,0.144,0.494
First hike (liftoff),2015-12-16,pc_chair,could,1.132,0.862,1.571
First hike (liftoff),2015-12-16,pc_chair,may,0.763,0.718,1.059
First hike (liftoff),2015-12-16,pc_chair,should,1.4,1.293,1.9
First hike (liftoff),2015-12-16,pc_chair,will,9.332,8.478,5.635
First hike (liftoff),2015-12-16,pc_chair,will/activity,1.057,1.15,0.388
First hike (liftoff),2015-12-16,pc_chair,will/mental,1.265,1.724,0.903
First hike (liftoff),2015-12-16,pc_chair,will/other,0.6,0.862,0.61
First hike (liftoff),2015-12-16,pc_chair,would,5.897,7.616,5.829
First hike (liftoff),2015-12-16,pc_chair,would/communication,0.84,0.862,0.814
First hike (liftoff),2015-12-16,pc_chair,would/mental,1.06,0.287,1.4
Normalization addendum,2017-06-14,pc_chair,ALL,17.354,15.702,21.241
Normalization addendum,2017-06-14,pc_chair,can,2.039,1.983,1.967
Normalization addendum,2017-06-14,pc_chair,can/activity,0.326,0.661,0.719
Normalization addendum,2017-06-14,pc_chair,could,2.063,0.826,2.594
Normalization addendum,2017-06-14,pc_chair,may,0.865,0.496,0.946
Normalization addendum,2017-06-14,pc_chair,should,0.816,1.157,1.791
Normalization addendum,2017-06-14,pc_chair,will,4.707,7.603,5.806
Normalization addendum,2017-06-14,pc_chair,will/activity,0.298,1.157,0.4
Normalization addendum,2017-06-14,pc_chair,will/mental,0.599,0.826,0.737
Normalization addendum,2017-06-14,pc_chair,will/other,0.274,1.322,0.512
Normalization addendum,2017-06-14,pc_chair,would,6.864,3.636,8.137
Normalization addendum,2017-06-14,pc_chair,would/communication,1.198,1.157,1.569
Normalization addendum,2017-06-14,pc_chair,would/mental,1.072,0.496,1.267
Balance-sheet runoff,2017-10-01,pc_chair,ALL,18.007,18.14,19.157
Balance-sheet runoff,2017-10-01,pc_chair,can,1.773,1.016,2.835
Balance-sheet runoff,2017-10-01,pc_chair,can/activity,0.523,0.29,0.885
Balance-sheet runoff,2017-10-01,pc_chair,could,1.864,2.612,1.824
Balance-sheet runoff,2017-10-01,pc_chair,may,0.738,1.306,0.843
Balance-sheet runoff,2017-10-01,pc_chair,should,0.927,0.871,1.792
Balance-sheet runoff,2017-10-01,pc_chair,will,6.92,4.208,5.402
Balance-sheet runoff,2017-10-01,pc_chair,will/activity,0.751,0.29,0.604
Balance-sheet runoff,2017-10-01,pc_chair,will/mental,0.561,0.58,1.085
Balance-sheet runoff,2017-10-01,pc_chair,will/other,0.743,0.435,0.443
Balance-sheet runoff,2017-10-01,pc_chair,would,5.785,8.127,6.462
Balance-sheet runoff,2017-10-01,pc_chair,would/communication,1.339,1.451,1.599
Balance-sheet runoff,2017-10-01,pc_chair,would/mental,0.562,1.451,1.288
Powell chair,2018-02-05,pc_chair,ALL,18.738,23.211,17.194
Powell chair,2018-02-05,pc_chair,can,1.669,2.877,2.338
Powell chair,2018-02-05,pc_chair,can/activity,0.556,1.151,0.674
Powell chair,2018-02-05,pc_chair,could,2.102,2.302,1.287
Powell chair,2018-02-05,pc_chair,may,0.983,0.384,1.234
Powell chair,2018-02-05,pc_chair,should,1.154,3.069,1.0
Powell chair,2018-02-05,pc_chair,will,6.614,5.179,6.563
Powell chair,2018-02-05,pc_chair,will/activity,0.721,0.192,0.713
Powell chair,2018-02-05,pc_chair,will/mental,0.565,1.343,0.984
Powell chair,2018-02-05,pc_chair,will/other,0.825,0.384,0.43
Powell chair,2018-02-05,pc_chair,would,6.216,9.4,4.772
Powell chair,2018-02-05,pc_chair,would/communication,1.443,1.535,1.261
Powell chair,2018-02-05,pc_chair,would/mental,0.792,1.918,0.879
Mid-cycle cut,2019-07-31,pc_chair,ALL,18.283,16.661,18.078
Mid-cycle cut,2019-07-31,pc_chair,can,2.074,2.356,3.824
Mid-cycle cut,2019-07-31,pc_chair,can/activity,0.301,0.673,0.969
Mid-cycle cut,2019-07-31,pc_chair,could,0.809,0.337,0.584
Mid-cycle cut,2019-07-31,pc_chair,may,1.22,0.337,0.661
Mid-cycle cut,2019-07-31,pc_chair,should,0.85,0.505,0.761
Mid-cycle cut,2019-07-31,pc_chair,will,6.498,9.256,6.658
Mid-cycle cut,2019-07-31,pc_chair,will/activity,1.364,1.851,1.386
Mid-cycle cut,2019-07-31,pc_chair,will/mental,0.676,2.356,0.852
Mid-cycle cut,2019-07-31,pc_chair,will/other,0.494,0.673,0.557
Mid-cycle cut,2019-07-31,pc_chair,would,6.832,3.871,5.59
Mid-cycle cut,2019-07-31,pc_chair,would/communication,2.341,1.178,1.55
Mid-cycle cut,2019-07-31,pc_chair,would/mental,0.81,0.168,0.597
Pandemic ZLB,2020-03-15,pc_chair,ALL,22.288,18.957,23.245
Pandemic ZLB,2020-03-15,pc_chair,can,3.167,3.16,5.695
Pandemic ZLB,2020-03-15,pc_chair,can/activity,0.808,0.702,1.856
Pandemic ZLB,2020-03-15,pc_chair,could,0.411,0.527,1.496
Pandemic ZLB,2020-03-15,pc_chair,may,0.554,0.878,0.9
Pandemic ZLB,2020-03-15,pc_chair,should,0.903,0.176,0.905
Pandemic ZLB,2020-03-15,pc_chair,will,11.825,10.883,9.827
Pandemic ZLB,2020-03-15,pc_chair,will/activity,3.122,1.58,2.156
Pandemic ZLB,2020-03-15,pc_chair,will/mental,0.84,1.404,0.864
Pandemic ZLB,2020-03-15,pc_chair,will/other,0.944,1.053,1.299
Pandemic ZLB,2020-03-15,pc_chair,would,5.426,3.335,4.422
Pandemic ZLB,2020-03-15,pc_chair,would/communication,1.615,1.404,1.823
Pandemic ZLB,2020-03-15,pc_chair,would/mental,0.812,0.702,0.683
New framework,2020-08-27,pc_chair,ALL,23.245,26.235,19.779
New framework,2020-08-27,pc_chair,can,5.695,3.861,3.187
New framework,2020-08-27,pc_chair,can/activity,1.856,1.022,1.166
New framework,2020-08-27,pc_chair,could,1.496,0.909,1.025
New framework,2020-08-27,pc_chair,may,0.9,1.022,1.102
New framework,2020-08-27,pc_chair,should,0.905,1.476,1.019
New framework,2020-08-27,pc_chair,will,9.827,11.357,8.145
New framework,2020-08-27,pc_chair,will/activity,2.156,1.476,2.139
New framework,2020-08-27,pc_chair,will/mental,0.864,0.681,0.852
New framework,2020-08-27,pc_chair,will/other,1.299,1.136,1.217
New framework,2020-08-27,pc_chair,would,4.422,7.609,5.3
New framework,2020-08-27,pc_chair,would/communication,1.823,2.839,1.431
New framework,2020-08-27,pc_chair,would/mental,0.683,1.249,1.091
Hiking cycle begins,2022-03-16,pc_chair,ALL,22.629,21.311,21.137
Hiking cycle begins,2022-03-16,pc_chair,can,3.441,3.065,4.15
Hiking cycle begins,2022-03-16,pc_chair,can/activity,1.112,1.46,1.226
Hiking cycle begins,2022-03-16,pc_chair,could,0.937,0.438,1.185
Hiking cycle begins,2022-03-16,pc_chair,may,0.964,0.584,0.364
Hiking cycle begins,2022-03-16,pc_chair,should,0.966,1.022,0.592
Hiking cycle begins,2022-03-16,pc_chair,will,9.936,9.05,8.291
Hiking cycle begins,2022-03-16,pc_chair,will/activity,2.09,2.773,1.961
Hiking cycle begins,2022-03-16,pc_chair,will/mental,1.116,1.022,1.058
Hiking cycle begins,2022-03-16,pc_chair,will/other,0.953,0.73,0.834
Hiking cycle begins,2022-03-16,pc_chair,would,6.385,7.152,6.554
Hiking cycle begins,2022-03-16,pc_chair,would/communication,2.048,2.919,1.693
Hiking cycle begins,2022-03-16,pc_chair,would/mental,0.957,0.438,0.942
Last hike,2023-07-26,pc_chair,ALL,21.234,22.509,19.036
Last hike,2023-07-26,pc_chair,can,3.304,2.904,3.818
Last hike,2023-07-26,pc_chair,can/activity,0.931,0.726,0.987
Last hike,2023-07-26,pc_chair,could,0.776,1.162,1.299
Last hike,2023-07-26,pc_chair,may,1.125,0.726,1.362
Last hike,2023-07-26,pc_chair,should,0.717,0.581,0.135
Last hike,2023-07-26,pc_chair,will,9.873,7.552,7.029
Last hike,2023-07-26,pc_chair,will/activity,2.093,1.743,2.108
Last hike,2023-07-26,pc_chair,will/mental,1.407,1.452,0.883
Last hike,2023-07-26,pc_chair,will/other,1.088,0.871,0.391
Last hike,2023-07-26,pc_chair,would,5.439,9.585,5.393
Last hike,2023-07-26,pc_chair,would/communication,1.865,3.485,1.648
Last hike,2023-07-26,pc_chair,would/mental,0.742,1.162,0.945
Cutting cycle begins,2024-09-18,pc_chair,ALL,18.987,18.919,16.783
Cutting cycle begins,2024-09-18,pc_chair,can,2.704,4.389,3.101
Cutting cycle begins,2024-09-18,pc_chair,can/activity,0.524,1.059,0.452
Cutting cycle begins,2024-09-18,pc_chair,could,1.463,0.757,1.023
Cutting cycle begins,2024-09-18,pc_chair,may,0.526,0.151,0.33
Cutting cycle begins,2024-09-18,pc_chair,should,0.614,0.757,0.811
Cutting cycle begins,2024-09-18,pc_chair,will,6.849,9.233,6.163
Cutting cycle begins,2024-09-18,pc_chair,will/activity,1.437,2.27,1.326
Cutting cycle begins,2024-09-18,pc_chair,will/mental,1.182,1.816,0.751
Cutting cycle begins,2024-09-18,pc_chair,will/other,0.915,0.757,0.526
Cutting cycle begins,2024-09-18,pc_chair,would,6.831,3.633,5.355
Cutting cycle begins,2024-09-18,pc_chair,would/communication,1.416,1.816,1.913
Cutting cycle begins,2024-09-18,pc_chair,would/mental,1.428,0.303,0.671
Framework review 2025,2025-08-22,pc_chair,ALL,19.965,14.058,18.197
Framework review 2025,2025-08-22,pc_chair,can,3.722,2.439,2.924
Framework review 2025,2025-08-22,pc_chair,can/activity,1.335,0.43,0.94
Framework review 2025,2025-08-22,pc_chair,could,1.448,0.861,1.348
Framework review 2025,2025-08-22,pc_chair,may,1.515,0.717,1.73
Framework review 2025,2025-08-22,pc_chair,should,1.372,0.717,1.395
Framework review 2025,2025-08-22,pc_chair,will,7.086,5.164,6.588
Framework review 2025,2025-08-22,pc_chair,will/activity,1.62,1.435,1.447
Framework review 2025,2025-08-22,pc_chair,will/mental,1.183,0.717,1.085
Framework review 2025,2025-08-22,pc_chair,will/other,0.545,0.287,0.6
Framework review 2025,2025-08-22,pc_chair,would,4.822,4.16,4.213
Framework review 2025,2025-08-22,pc_chair,would/communication,1.058,2.008,1.623
Framework review 2025,2025-08-22,pc_chair,would/mental,1.107,0.287,0.416
