layer,modal,n,pmw,ci_lo,ci_hi,DP,docs_with,n_docs
statement,will,607,14484.8,13355.3,15684.3,0.085,101,101
statement,would,49,1169.3,865.0,1545.9,0.614,47,101
statement,could,50,1193.1,885.6,1573.0,0.548,50,101
statement,can,4,95.5,26.0,244.4,0.944,4,101
statement,should,33,787.5,542.1,1105.9,0.617,27,101
statement,may,27,644.3,424.6,937.4,0.685,26,101
statement,might,0,0.0,0.0,88.0,,0,101
statement,must,0,0.0,0.0,88.0,,0,101
statement,shall,0,0.0,0.0,88.0,,0,101
pc_chair,will,4341,8142.8,7902.4,8388.8,0.114,80,80
pc_chair,would,3127,5865.6,5661.8,6074.9,0.118,80,80
pc_chair,could,626,1174.3,1084.1,1269.9,0.189,79,80
pc_chair,can,1610,3020.0,2874.3,3171.2,0.142,80,80
pc_chair,should,497,932.3,852.1,1018.0,0.218,79,80
pc_chair,may,485,909.8,830.6,994.5,0.211,79,80
pc_chair,might,237,444.6,389.8,504.9,0.321,71,80
pc_chair,must,19,35.6,21.5,55.7,0.814,15,80
pc_chair,shall,2,3.8,0.5,13.6,0.987,1,80
speech_chair,will,1169,4977.6,4696.3,5271.3,0.193,119,124
speech_chair,would,573,2439.8,2244.1,2648.0,0.252,99,124
speech_chair,could,355,1511.6,1358.4,1677.3,0.325,80,124
speech_chair,can,514,2188.6,2003.5,2386.3,0.254,109,124
speech_chair,should,210,894.2,777.3,1023.6,0.352,68,124
speech_chair,may,382,1626.5,1467.5,1798.1,0.292,91,124
speech_chair,might,146,621.7,524.9,731.1,0.415,56,124
speech_chair,must,104,442.8,361.8,536.6,0.431,56,124
speech_chair,shall,0,0.0,0.0,15.7,,0,124
