level,key,unit,macro,rho_T1,p_T1,rho_T2,p_T2,rho_T3,rho_H1,rho_H2,n_tokens_T1,zero_share_T1,category,unit_level
genre,press_conf,ALL,vix,0.319,0.004,0.297,0.0118,0.293,,0.252,10686,0.0,era_composition,modal
genre,press_conf,can,vix,0.422,0.0001,0.323,0.006,0.405,,0.158,1610,0.0,era_composition,modal
genre,press_conf,could,vix,-0.287,0.01,-0.322,0.0062,-0.318,,-0.256,626,0.013,era_composition,modal
genre,press_conf,will,vix,0.311,0.0049,0.313,0.0078,0.248,,0.236,4341,0.0,era_composition,modal
genre,speech,should,vix,-0.193,0.0321,-0.191,0.0387,-0.059,-0.039,-0.155,210,0.452,confirmed,modal
genre,speech,would,vix,-0.209,0.0199,-0.227,0.0135,-0.216,-0.248,0.021,573,0.202,era_composition,modal
genre,statement,could,vix,0.332,0.0007,0.451,0.0,0.182,-0.083,-0.012,50,0.505,era_composition,modal
genre,statement,would,vix,0.338,0.0005,0.455,0.0,0.221,-0.216,-0.048,49,0.535,era_composition,modal
layer,pc_chair,ALL,vix,0.319,0.004,0.297,0.0118,0.293,,0.252,10686,0.0,era_composition,modal
layer,pc_chair,can,vix,0.422,0.0001,0.323,0.006,0.405,,0.158,1610,0.0,era_composition,modal
layer,pc_chair,could,vix,-0.287,0.01,-0.322,0.0062,-0.318,,-0.256,626,0.013,era_composition,modal
layer,pc_chair,will,vix,0.311,0.0049,0.313,0.0078,0.248,,0.236,4341,0.0,era_composition,modal
layer,speech_chair,should,vix,-0.193,0.0321,-0.191,0.0387,-0.059,-0.039,-0.155,210,0.452,confirmed,modal
layer,speech_chair,would,vix,-0.209,0.0199,-0.227,0.0135,-0.216,-0.248,0.021,573,0.202,era_composition,modal
layer,statement,could,vix,0.332,0.0007,0.451,0.0,0.182,-0.083,-0.012,50,0.505,era_composition,modal
layer,statement,would,vix,0.338,0.0005,0.455,0.0,0.221,-0.216,-0.048,49,0.535,era_composition,modal
genre,press_conf,can+do,vix,0.298,0.0073,0.123,0.3087,0.27,,-0.0,159,0.237,T1_only,U2
genre,press_conf,can+everything,vix,0.281,0.0116,0.344,0.0033,0.278,,-0.24,52,0.463,era_composition,U2
genre,press_conf,can+have,vix,0.28,0.0118,0.291,0.0137,0.249,,0.397,51,0.6,T1_only,U2
genre,press_conf,will+be,vix,0.293,0.0083,0.291,0.0139,0.246,,0.056,105,0.338,era_composition,U2
genre,press_conf,will+depend,vix,0.254,0.0228,0.114,0.3429,0.221,,0.188,67,0.537,T1_only,U2
genre,press_conf,will+do,vix,0.283,0.0108,0.318,0.0069,0.194,,-0.125,151,0.237,era_composition,U2
genre,press_conf,will+have,cfnai,-0.288,0.0095,-0.328,0.0053,-0.218,,-0.428,216,0.087,era_composition,U2
genre,press_conf,will+see,vix,0.338,0.0021,0.34,0.0037,0.254,,0.275,177,0.2,era_composition,U2
genre,press_conf,will+take,vix,0.259,0.0205,0.25,0.0352,0.227,,0.035,146,0.225,era_composition,U2
genre,press_conf,would+expect,cfnai,0.244,0.0291,0.126,0.2953,0.229,,0.154,81,0.45,T1_only,U2
genre,press_conf,would+take,vix,-0.264,0.0179,-0.19,0.1117,-0.287,,-0.127,72,0.562,T1_only,U2
genre,press_conf,would+think,vix,0.241,0.0316,0.243,0.0414,0.227,,0.065,52,0.6,T1_only,U2
genre,statement,could+impede,vix,0.359,0.0002,0.474,0.0,0.247,,-0.012,46,0.545,era_composition,U2
genre,statement,will+assess,cfnai,-0.356,0.0003,-0.298,0.0041,-0.251,0.006,-0.434,72,0.287,era_composition,U2
genre,statement,will+assess,vix,-0.265,0.0073,-0.228,0.0298,-0.321,-0.071,-0.265,72,0.287,confirmed,U2
genre,statement,will+continue,vix,0.408,0.0,0.395,0.0001,0.375,0.081,-0.325,125,0.327,era_composition,U2
genre,statement,will+take,cfnai,-0.221,0.0261,-0.244,0.0197,-0.125,0.088,-0.474,123,0.02,era_composition,U2
genre,statement,would+be+prepared,vix,0.359,0.0002,0.474,0.0,0.247,,-0.012,46,0.545,era_composition,U2
layer,pc_chair,can+do,vix,0.298,0.0073,0.123,0.3087,0.27,,-0.0,159,0.237,T1_only,U2
layer,pc_chair,can+everything,vix,0.281,0.0116,0.344,0.0033,0.278,,-0.24,52,0.463,era_composition,U2
layer,pc_chair,can+have,vix,0.28,0.0118,0.291,0.0137,0.249,,0.397,51,0.6,T1_only,U2
layer,pc_chair,will+be,vix,0.293,0.0083,0.291,0.0139,0.246,,0.056,105,0.338,era_composition,U2
layer,pc_chair,will+depend,vix,0.254,0.0228,0.114,0.3429,0.221,,0.188,67,0.537,T1_only,U2
layer,pc_chair,will+do,vix,0.283,0.0108,0.318,0.0069,0.194,,-0.125,151,0.237,era_composition,U2
layer,pc_chair,will+have,cfnai,-0.288,0.0095,-0.328,0.0053,-0.218,,-0.428,216,0.087,era_composition,U2
layer,pc_chair,will+see,vix,0.338,0.0021,0.34,0.0037,0.254,,0.275,177,0.2,era_composition,U2
layer,pc_chair,will+take,vix,0.259,0.0205,0.25,0.0352,0.227,,0.035,146,0.225,era_composition,U2
layer,pc_chair,would+expect,cfnai,0.244,0.0291,0.126,0.2953,0.229,,0.154,81,0.45,T1_only,U2
layer,pc_chair,would+take,vix,-0.264,0.0179,-0.19,0.1117,-0.287,,-0.127,72,0.562,T1_only,U2
layer,pc_chair,would+think,vix,0.241,0.0316,0.243,0.0414,0.227,,0.065,52,0.6,T1_only,U2
layer,statement,could+impede,vix,0.359,0.0002,0.474,0.0,0.247,,-0.012,46,0.545,era_composition,U2
