layer,unit,n_tokens,zero_share,spec,var,label,coef,se,p,stars,n,r2,adj_r2
min_committee,would/copular_adj,126,0.232,(3),const,const,-0.04396,1.10248,0.96819,,99,0.21804,0.20175
min_committee,would/copular_adj,126,0.232,(3),cfnai_ma3_lag2,CFNAI-MA3,0.38178,0.12554,0.00236,***,99,0.21804,0.20175
min_committee,would/copular_adj,126,0.232,(3),vix_pre28,VIX,0.12877,0.06552,0.04936,**,99,0.21804,0.20175
min_committee,would/copular_adj,126,0.232,(6) excl-2020,const,const,-1.25725,0.76726,0.10129,,91,0.36864,0.35429
min_committee,would/copular_adj,126,0.232,(6) excl-2020,cfnai_ma3_lag2,CFNAI-MA3,1.18956,0.69443,0.08671,*,91,0.36864,0.35429
min_committee,would/copular_adj,126,0.232,(6) excl-2020,vix_pre28,VIX,0.20414,0.04299,0.0,***,91,0.36864,0.35429
min_committee,would/copular_adj,126,0.232,(7) Δ,const,const,0.00178,0.08468,0.98324,,98,0.03113,0.01073
min_committee,would/copular_adj,126,0.232,(7) Δ,d_cfnai,ΔCFNAI,0.15008,0.11203,0.18038,,98,0.03113,0.01073
min_committee,would/copular_adj,126,0.232,(7) Δ,d_vix,ΔVIX,-0.01101,0.02445,0.65247,,98,0.03113,0.01073
min_committee,would/aspectual,116,0.212,(3),const,const,-0.03544,0.50461,0.94401,,99,0.21267,0.19626
min_committee,would/aspectual,116,0.212,(3),cfnai_ma3_lag2,CFNAI-MA3,-0.15397,0.06347,0.01528,**,99,0.21267,0.19626
min_committee,would/aspectual,116,0.212,(3),vix_pre28,VIX,0.11487,0.02325,0.0,***,99,0.21267,0.19626
min_committee,would/aspectual,116,0.212,(6) excl-2020,const,const,-0.30757,0.68076,0.65141,,91,0.16179,0.14274
min_committee,would/aspectual,116,0.212,(6) excl-2020,cfnai_ma3_lag2,CFNAI-MA3,-0.11933,1.19065,0.92017,,91,0.16179,0.14274
min_committee,would/aspectual,116,0.212,(6) excl-2020,vix_pre28,VIX,0.13302,0.03701,0.00033,***,91,0.16179,0.14274
min_committee,would/aspectual,116,0.212,(7) Δ,const,const,0.01176,0.05705,0.83671,,98,0.06957,0.04999
min_committee,would/aspectual,116,0.212,(7) Δ,d_cfnai,ΔCFNAI,-0.21377,0.05833,0.00025,***,98,0.06957,0.04999
min_committee,would/aspectual,116,0.212,(7) Δ,d_vix,ΔVIX,0.03399,0.03822,0.37383,,98,0.06957,0.04999
min_committee,would/activity,108,0.162,(3),const,const,0.66546,0.36124,0.06546,*,99,0.17896,0.16185
min_committee,would/activity,108,0.162,(3),cfnai_ma3_lag2,CFNAI-MA3,-0.22614,0.02934,0.0,***,99,0.17896,0.16185
min_committee,would/activity,108,0.162,(3),vix_pre28,VIX,0.0682,0.0142,0.0,***,99,0.17896,0.16185
min_committee,would/activity,108,0.162,(6) excl-2020,const,const,0.62117,0.45631,0.17343,,91,0.08723,0.06649
