layer,modal,vclass,n,share
min_staff_desk,will,other,9,0.2571
min_staff_desk,will,policy_action,5,0.1429
min_staff_desk,will,aspectual,5,0.1429
min_staff_desk,will,occurrence,5,0.1429
min_staff_desk,will,causative,2,0.0571
min_staff_desk,will,existence,2,0.0571
min_staff_desk,will,copular_adj,2,0.0571
min_staff_desk,will,activity,2,0.0571
min_staff_desk,will,copular_nom,1,0.0286
min_staff_desk,will,copular_prep,1,0.0286
min_staff_desk,will,communication,1,0.0286
min_staff_desk,would,other,62,0.202
min_staff_desk,would,policy_action,46,0.1498
min_staff_desk,would,copular_adj,39,0.127
min_staff_desk,would,aspectual,37,0.1205
min_staff_desk,would,occurrence,36,0.1173
min_staff_desk,would,activity,31,0.101
min_staff_desk,would,existence,14,0.0456
min_staff_desk,would,communication,12,0.0391
min_staff_desk,would,copular_nom,10,0.0326
min_staff_desk,would,mental,10,0.0326
min_staff_desk,would,causative,9,0.0293
min_staff_desk,would,copular_prep,1,0.0033
min_staff_desk,could,occurrence,25,0.1812
min_staff_desk,could,causative,24,0.1739
min_staff_desk,could,activity,21,0.1522
min_staff_desk,could,other,17,0.1232
min_staff_desk,could,policy_action,15,0.1087
min_staff_desk,could,mental,11,0.0797
min_staff_desk,could,aspectual,9,0.0652
min_staff_desk,could,copular_adj,6,0.0435
min_staff_desk,could,existence,5,0.0362
min_staff_desk,could,communication,2,0.0145
min_staff_desk,could,copular_nom,2,0.0145
min_staff_desk,could,copular_prep,1,0.0072
min_staff_desk,should,other,10,0.3704
min_staff_desk,should,policy_action,3,0.1111
min_staff_desk,should,occurrence,3,0.1111
min_staff_desk,should,causative,3,0.1111
min_staff_desk,should,activity,2,0.0741
min_staff_desk,should,aspectual,2,0.0741
min_staff_desk,should,mental,2,0.0741
min_staff_desk,should,existence,1,0.037
min_staff_desk,should,copular_adj,1,0.037
min_staff_desk,may,occurrence,10,0.2439
min_staff_desk,may,causative,10,0.2439
min_staff_desk,may,other,6,0.1463
min_staff_desk,may,copular_adj,5,0.122
min_staff_desk,may,activity,4,0.0976
min_staff_desk,may,copular_prep,3,0.0732
min_staff_desk,may,policy_action,2,0.0488
min_staff_desk,may,mental,1,0.0244
min_staff,would,occurrence,103,0.315
min_staff,would,policy_action,58,0.1774
min_staff,would,other,42,0.1284
min_staff,would,copular_adj,41,0.1254
min_staff,would,activity,23,0.0703
min_staff,would,causative,22,0.0673
min_staff,would,aspectual,12,0.0367
min_staff,would,copular_prep,9,0.0275
min_staff,would,copular_nom,7,0.0214
min_staff,would,existence,6,0.0183
min_staff,would,communication,4,0.0122
min_staff,could,occurrence,43,0.3258
min_staff,could,other,21,0.1591
min_staff,could,causative,18,0.1364
min_staff,could,policy_action,14,0.1061
min_staff,could,mental,9,0.0682
min_staff,could,existence,7,0.053
min_staff,could,activity,7,0.053
min_staff,could,copular_adj,5,0.0379
min_staff,could,aspectual,4,0.0303
min_staff,could,communication,2,0.0152
min_staff,could,copular_nom,2,0.0152
min_staff,may,occurrence,24,0.4211
min_staff,may,copular_adj,12,0.2105
min_staff,may,other,8,0.1404
min_staff,may,causative,7,0.1228
min_staff,may,existence,3,0.0526
min_staff,may,activity,2,0.0351
min_staff,may,policy_action,1,0.0175
min_participants,will,existence,5,0.1667
min_participants,will,other,5,0.1667
min_participants,will,occurrence,5,0.1667
min_participants,will,copular_adj,4,0.1333
min_participants,will,causative,4,0.1333
min_participants,will,activity,3,0.1
min_participants,will,policy_action,2,0.0667
min_participants,will,copular_nom,1,0.0333
min_participants,will,communication,1,0.0333
min_participants,would,copular_adj,321,0.2088
min_participants,would,other,213,0.1386
min_participants,would,occurrence,187,0.1217
min_participants,would,activity,158,0.1028
min_participants,would,causative,155,0.1008
min_participants,would,policy_action,152,0.0989
min_participants,would,aspectual,120,0.0781
min_participants,would,existence,93,0.0605
min_participants,would,mental,75,0.0488
min_participants,would,copular_nom,31,0.0202
min_participants,would,communication,21,0.0137
min_participants,would,copular_prep,11,0.0072
min_participants,could,causative,248,0.2834
min_participants,could,other,148,0.1691
min_participants,could,occurrence,132,0.1509
min_participants,could,activity,114,0.1303
min_participants,could,policy_action,55,0.0629
min_participants,could,copular_adj,52,0.0594
min_participants,could,existence,38,0.0434
min_participants,could,mental,21,0.024
min_participants,could,copular_nom,20,0.0229
min_participants,could,aspectual,20,0.0229
min_participants,could,communication,16,0.0183
min_participants,could,copular_prep,9,0.0103
min_participants,could,copular_adv,2,0.0023
min_participants,should,other,31,0.2081
min_participants,should,aspectual,20,0.1342
min_participants,should,occurrence,18,0.1208
min_participants,should,activity,16,0.1074
min_participants,should,policy_action,16,0.1074
min_participants,should,mental,15,0.1007
min_participants,should,communication,10,0.0671
min_participants,should,copular_nom,9,0.0604
min_participants,should,copular_adj,6,0.0403
min_participants,should,causative,5,0.0336
min_participants,should,existence,3,0.0201
min_participants,may,copular_adj,42,0.2675
min_participants,may,other,23,0.1465
min_participants,may,causative,20,0.1274
min_participants,may,occurrence,19,0.121
min_participants,may,policy_action,13,0.0828
min_participants,may,existence,9,0.0573
min_participants,may,copular_nom,7,0.0446
min_participants,may,aspectual,7,0.0446
min_participants,may,communication,7,0.0446
min_participants,may,activity,6,0.0382
min_participants,may,copular_prep,3,0.0191
min_participants,may,mental,1,0.0064
min_committee,will,activity,11,0.2973
min_committee,will,copular_adj,8,0.2162
min_committee,will,policy_action,6,0.1622
min_committee,will,aspectual,4,0.1081
min_committee,will,other,2,0.0541
min_committee,will,causative,2,0.0541
min_committee,will,occurrence,2,0.0541
min_committee,will,mental,2,0.0541
min_committee,would,copular_adj,126,0.1752
min_committee,would,aspectual,116,0.1613
min_committee,would,activity,108,0.1502
min_committee,would,occurrence,89,0.1238
min_committee,would,mental,71,0.0987
min_committee,would,policy_action,56,0.0779
min_committee,would,existence,52,0.0723
min_committee,would,causative,48,0.0668
min_committee,would,other,26,0.0362
min_committee,would,communication,24,0.0334
min_committee,would,copular_nom,3,0.0042
min_committee,could,causative,55,0.6627
min_committee,could,other,6,0.0723
min_committee,could,activity,6,0.0723
min_committee,could,copular_adj,5,0.0602
min_committee,could,occurrence,4,0.0482
min_committee,could,policy_action,3,0.0361
min_committee,could,copular_nom,2,0.0241
min_committee,could,existence,2,0.0241
min_committee,should,communication,38,0.4471
min_committee,should,activity,21,0.2471
min_committee,should,other,12,0.1412
min_committee,should,aspectual,5,0.0588
min_committee,should,mental,3,0.0353
min_committee,should,existence,2,0.0235
min_committee,should,occurrence,2,0.0235
min_committee,should,copular_adj,1,0.0118
min_committee,should,causative,1,0.0118
min_committee,may,causative,14,0.4516
min_committee,may,copular_adj,13,0.4194
min_committee,may,occurrence,3,0.0968
min_committee,may,policy_action,1,0.0323
min_special,will,policy_action,9,0.1837
min_special,will,other,9,0.1837
min_special,will,existence,8,0.1633
min_special,will,aspectual,6,0.1224
min_special,will,activity,4,0.0816
min_special,will,occurrence,4,0.0816
min_special,will,mental,3,0.0612
min_special,will,copular_nom,2,0.0408
min_special,will,copular_adj,2,0.0408
min_special,will,causative,1,0.0204
min_special,will,copular_prep,1,0.0204
min_special,would,copular_adj,90,0.2616
min_special,would,other,62,0.1802
min_special,would,activity,40,0.1163
min_special,would,policy_action,33,0.0959
min_special,would,causative,29,0.0843
min_special,would,existence,23,0.0669
min_special,would,aspectual,21,0.061
min_special,would,communication,15,0.0436
min_special,would,copular_nom,11,0.032
min_special,would,occurrence,11,0.032
min_special,would,mental,8,0.0233
min_special,would,copular_prep,1,0.0029
min_special,could,other,68,0.2403
min_special,could,activity,51,0.1802
min_special,could,causative,40,0.1413
min_special,could,policy_action,39,0.1378
min_special,could,occurrence,23,0.0813
min_special,could,copular_adj,23,0.0813
min_special,could,mental,11,0.0389
min_special,could,existence,9,0.0318
min_special,could,aspectual,7,0.0247
min_special,could,communication,7,0.0247
min_special,could,copular_nom,5,0.0177
min_special,can,other,5,0.2381
min_special,can,occurrence,4,0.1905
min_special,can,policy_action,4,0.1905
min_special,can,causative,3,0.1429
min_special,can,copular_adj,2,0.0952
min_special,can,activity,2,0.0952
min_special,can,existence,1,0.0476
min_special,should,other,18,0.3103
min_special,should,policy_action,9,0.1552
min_special,should,copular_nom,7,0.1207
min_special,should,aspectual,6,0.1034
min_special,should,activity,5,0.0862
min_special,should,existence,4,0.069
min_special,should,occurrence,3,0.0517
min_special,should,copular_adj,3,0.0517
min_special,should,communication,1,0.0172
min_special,should,causative,1,0.0172
min_special,should,mental,1,0.0172
min_special,may,causative,7,0.25
min_special,may,policy_action,6,0.2143
min_special,may,copular_adj,5,0.1786
min_special,may,copular_nom,3,0.1071
min_special,may,activity,3,0.1071
min_special,may,copular_prep,2,0.0714
min_special,may,other,2,0.0714
pc_chair,will,activity,845,0.1947
pc_chair,will,mental,589,0.1357
pc_chair,will,other,431,0.0993
pc_chair,will,existence,430,0.0991
pc_chair,will,copular_adj,400,0.0921
pc_chair,will,aspectual,336,0.0774
pc_chair,will,policy_action,297,0.0684
pc_chair,will,copular_nom,287,0.0661
pc_chair,will,occurrence,275,0.0633
pc_chair,will,communication,267,0.0615
pc_chair,will,causative,105,0.0242
pc_chair,will,copular_prep,60,0.0138
pc_chair,will,copular_adv,19,0.0044
pc_chair,would,communication,846,0.2705
pc_chair,would,mental,475,0.1519
pc_chair,would,other,388,0.1241
pc_chair,would,activity,344,0.11
pc_chair,would,copular_adj,270,0.0863
pc_chair,would,existence,251,0.0803
pc_chair,would,copular_nom,219,0.07
pc_chair,would,policy_action,91,0.0291
pc_chair,would,causative,89,0.0285
pc_chair,would,aspectual,53,0.0169
pc_chair,would,occurrence,50,0.016
pc_chair,would,copular_prep,44,0.0141
pc_chair,would,copular_adv,7,0.0022
pc_chair,could,activity,110,0.1757
pc_chair,could,causative,88,0.1406
pc_chair,could,other,81,0.1294
pc_chair,could,existence,71,0.1134
pc_chair,could,copular_nom,54,0.0863
pc_chair,could,occurrence,51,0.0815
pc_chair,could,copular_adj,51,0.0815
pc_chair,could,mental,43,0.0687
pc_chair,could,communication,27,0.0431
pc_chair,could,policy_action,23,0.0367
pc_chair,could,copular_prep,17,0.0272
pc_chair,could,aspectual,9,0.0144
