layer,modal,sem_type,n,share
pc_chair,will,dynamic_volitional,2244,0.517
pc_chair,will,epistemic_predictive,2097,0.483
pc_chair,would,conditional_hypothetical,1103,0.353
pc_chair,would,dynamic_tentative,780,0.249
pc_chair,would,dynamic_volitional_conditional,716,0.229
pc_chair,would,reported_backshift,528,0.169
pc_chair,could,epistemic_possibility,458,0.732
pc_chair,could,dynamic_ability,168,0.268
pc_chair,can,dynamic_ability,1066,0.662
pc_chair,can,dynamic_circumstantial,443,0.275
pc_chair,can,epistemic_possibility,101,0.063
pc_chair,should,deontic_advisability,369,0.742
pc_chair,should,epistemic_expectation,128,0.258
pc_chair,may,epistemic_possibility,479,0.988
pc_chair,may,deontic_permission,6,0.012
speech_chair,will,epistemic_predictive,678,0.58
speech_chair,will,dynamic_volitional,491,0.42
speech_chair,would,conditional_hypothetical,379,0.661
speech_chair,would,reported_backshift,90,0.157
speech_chair,would,dynamic_tentative,56,0.098
speech_chair,would,dynamic_volitional_conditional,48,0.084
speech_chair,could,epistemic_possibility,300,0.845
speech_chair,could,dynamic_ability,55,0.155
speech_chair,can,dynamic_circumstantial,290,0.564
speech_chair,can,dynamic_ability,176,0.342
speech_chair,can,epistemic_possibility,48,0.093
speech_chair,should,deontic_advisability,182,0.867
speech_chair,should,epistemic_expectation,28,0.133
speech_chair,may,epistemic_possibility,379,0.992
speech_chair,may,deontic_permission,3,0.008
