layer,modal_a,modal_b,jsd
min_boilerplate,will,would,1.0
min_boilerplate,will,could,1.0
min_boilerplate,will,can,1.0
min_boilerplate,will,should,1.0
min_boilerplate,will,may,1.0
min_boilerplate,would,could,1.0
min_boilerplate,would,can,1.0
min_boilerplate,would,should,1.0
min_boilerplate,would,may,1.0
min_boilerplate,could,can,1.0
min_boilerplate,could,should,1.0
min_boilerplate,could,may,1.0
min_boilerplate,can,should,1.0
min_boilerplate,can,may,1.0
min_boilerplate,should,may,1.0
min_committee,will,would,1.0
min_committee,will,could,1.0
min_committee,will,can,1.0
min_committee,will,should,1.0
min_committee,will,may,1.0
min_committee,would,could,1.0
min_committee,would,can,1.0
min_committee,would,should,1.0
min_committee,would,may,1.0
min_committee,could,can,1.0
min_committee,could,should,1.0
min_committee,could,may,1.0
min_committee,can,should,1.0
min_committee,can,may,1.0
min_committee,should,may,1.0
min_directive_quote,will,could,1.0
min_directive_quote,will,can,1.0
min_directive_quote,could,can,1.0
min_front_matter,will,would,1.0
min_front_matter,will,could,1.0
min_front_matter,will,can,1.0
min_front_matter,will,should,1.0
min_front_matter,will,may,1.0
min_front_matter,would,could,1.0
min_front_matter,would,can,1.0
min_front_matter,would,should,1.0
min_front_matter,would,may,1.0
min_front_matter,could,can,1.0
min_front_matter,could,should,1.0
min_front_matter,could,may,1.0
min_front_matter,can,should,1.0
min_front_matter,can,may,1.0
min_front_matter,should,may,1.0
min_participants,will,would,1.0
min_participants,will,could,1.0
min_participants,will,can,1.0
min_participants,will,should,1.0
min_participants,will,may,1.0
min_participants,would,could,1.0
min_participants,would,can,1.0
min_participants,would,should,1.0
min_participants,would,may,1.0
min_participants,could,can,1.0
min_participants,could,should,1.0
min_participants,could,may,1.0
min_participants,can,should,1.0
min_participants,can,may,1.0
min_participants,should,may,1.0
min_special,will,would,1.0
min_special,will,could,1.0
min_special,will,can,1.0
min_special,will,should,1.0
min_special,will,may,1.0
min_special,would,could,1.0
min_special,would,can,1.0
min_special,would,should,1.0
min_special,would,may,1.0
min_special,could,can,1.0
min_special,could,should,1.0
min_special,could,may,1.0
min_special,can,should,1.0
min_special,can,may,1.0
min_special,should,may,1.0
min_staff,will,would,1.0
min_staff,will,could,1.0
min_staff,will,can,1.0
min_staff,will,should,1.0
min_staff,will,may,1.0
min_staff,would,could,1.0
min_staff,would,can,1.0
min_staff,would,should,1.0
min_staff,would,may,1.0
min_staff,could,can,1.0
min_staff,could,should,1.0
min_staff,could,may,1.0
min_staff,can,should,1.0
min_staff,can,may,1.0
min_staff,should,may,1.0
min_staff_desk,will,would,1.0
min_staff_desk,will,could,1.0
min_staff_desk,will,can,1.0
min_staff_desk,will,should,1.0
min_staff_desk,will,may,1.0
min_staff_desk,would,could,1.0
min_staff_desk,would,can,1.0
min_staff_desk,would,should,1.0
min_staff_desk,would,may,1.0
min_staff_desk,could,can,1.0
min_staff_desk,could,should,1.0
min_staff_desk,could,may,1.0
min_staff_desk,can,should,1.0
min_staff_desk,can,may,1.0
min_staff_desk,should,may,1.0
min_statement_quote,will,would,1.0
min_statement_quote,will,could,1.0
min_statement_quote,will,can,1.0
min_statement_quote,will,should,1.0
min_statement_quote,will,may,1.0
min_statement_quote,would,could,1.0
min_statement_quote,would,can,1.0
min_statement_quote,would,should,1.0
min_statement_quote,would,may,1.0
min_statement_quote,could,can,1.0
min_statement_quote,could,should,1.0
