key,unit,target,r2_base,r2_with,delta_r2,coef_text,p_text,n,q_text
minutes,ALL,cfnai_ma3_lead3,0.0553,0.0751,0.0198,-0.0981,0.4048,99,0.5456
minutes,ALL,d_vix_28,0.0527,0.0536,0.0008,-0.0871,0.6925,99,0.7487
minutes,could,cfnai_ma3_lead3,0.0553,0.1247,0.0694,-0.307,0.1697,99,0.4368
minutes,could,d_vix_28,0.0527,0.073,0.0202,-0.7243,0.0542,99,0.4062
minutes,may,cfnai_ma3_lead3,0.0553,0.0598,0.0045,0.1796,0.5223,99,0.6282
minutes,may,d_vix_28,0.0527,0.0602,0.0075,-1.0159,0.2835,99,0.4721
minutes,should,cfnai_ma3_lead3,0.0553,0.0558,0.0005,-0.0613,0.729,99,0.7674
minutes,should,d_vix_28,0.0527,0.0677,0.015,-1.511,0.0578,99,0.4062
minutes,will,cfnai_ma3_lead3,0.0553,0.0591,0.0037,-0.1729,0.2207,99,0.4646
minutes,will,d_vix_28,0.0527,0.0542,0.0015,-0.4786,0.575,99,0.6571
minutes,would,cfnai_ma3_lead3,0.0553,0.0566,0.0012,0.0331,0.6093,99,0.677
minutes,would,d_vix_28,0.0527,0.0813,0.0285,0.7021,0.2063,99,0.4585
press_conf,ALL,cfnai_ma3_lead3,0.0707,0.0761,0.0054,0.0297,0.5004,80,0.6255
press_conf,ALL,d_vix_28,0.0173,0.0383,0.021,0.3327,0.34,80,0.5037
press_conf,can,cfnai_ma3_lead3,0.0707,0.0834,0.0126,0.1233,0.263,80,0.4721
press_conf,can,d_vix_28,0.0173,0.0173,0.0,0.0059,0.9909,80,0.9909
press_conf,could,cfnai_ma3_lead3,0.0707,0.1236,0.0528,0.4315,0.0773,80,0.4062
press_conf,could,d_vix_28,0.0173,0.0783,0.0611,-2.6179,0.1188,80,0.4368
press_conf,may,cfnai_ma3_lead3,0.0707,0.0824,0.0116,0.2541,0.2333,80,0.4667
press_conf,may,d_vix_28,0.0173,0.0635,0.0462,-2.8574,0.1633,80,0.4368
press_conf,should,cfnai_ma3_lead3,0.0707,0.087,0.0162,0.2581,0.1478,80,0.4368
press_conf,should,d_vix_28,0.0173,0.023,0.0058,-0.8685,0.319,80,0.4907
press_conf,will,cfnai_ma3_lead3,0.0707,0.0913,0.0206,-0.0683,0.4092,80,0.5456
press_conf,will,d_vix_28,0.0173,0.174,0.1567,1.0628,0.0708,80,0.4062
press_conf,would,cfnai_ma3_lead3,0.0707,0.0809,0.0101,0.0684,0.1503,80,0.4368
press_conf,would,d_vix_28,0.0173,0.0388,0.0215,-0.5628,0.0521,80,0.4062
speech,ALL,cfnai_ma3_lead3,0.451,0.4544,0.0034,0.008,0.2834,123,0.4721
speech,ALL,d_vix_28,0.3007,0.3094,0.0086,-0.0732,0.1747,124,0.4368
speech,can,cfnai_ma3_lead3,0.451,0.459,0.008,0.0339,0.174,123,0.4368
speech,can,d_vix_28,0.3007,0.3066,0.0059,-0.1665,0.295,124,0.4721
speech,could,cfnai_ma3_lead3,0.451,0.4562,0.0052,0.0373,0.1163,123,0.4368
speech,could,d_vix_28,0.3007,0.306,0.0053,-0.2174,0.2669,124,0.4721
speech,may,cfnai_ma3_lead3,0.451,0.4519,0.0008,-0.0132,0.5339,123,0.6282
speech,may,d_vix_28,0.3007,0.3184,0.0177,-0.346,0.0324,124,0.4062
speech,should,cfnai_ma3_lead3,0.451,0.4555,0.0045,0.0448,0.4036,123,0.5456
speech,should,d_vix_28,0.3007,0.3295,0.0288,-0.65,0.0094,124,0.3742
speech,will,cfnai_ma3_lead3,0.451,0.4513,0.0003,-0.0035,0.7707,123,0.7904
speech,will,d_vix_28,0.3007,0.3146,0.0139,0.1488,0.2038,124,0.4585
speech,would,cfnai_ma3_lead3,0.451,0.4524,0.0014,0.0152,0.4852,123,0.6255
speech,would,d_vix_28,0.3007,0.3185,0.0178,-0.3155,0.0812,124,0.4062
