layer,series,metric,trend,p,tau,sen_slope,n
statement,ALL,per1k,increasing,0.0,0.344,0.0667,101
statement,can,per1k,no trend,0.1367,-0.0341,0.0,101
statement,can,share,no trend,0.1485,-0.0331,0.0,101
statement,could,per1k,increasing,0.0,0.5756,0.0431,101
statement,could,share,increasing,0.0,0.5543,0.002,101
statement,may,per1k,decreasing,0.0175,-0.1232,0.0,101
statement,may,share,decreasing,0.0059,-0.1426,0.0,101
statement,should,per1k,decreasing,0.0,-0.3943,0.0,101
statement,should,share,decreasing,0.0,-0.4321,0.0,101
statement,will,per1k,no trend,0.7827,0.0188,0.0025,101
statement,will,share,decreasing,0.0,-0.3418,-0.0021,101
statement,would,per1k,increasing,0.0,0.5927,0.0431,101
statement,would,share,increasing,0.0,0.5693,0.002,101
