layer,unit,n_tokens,zero_share,spec,var,label,coef,se,p,stars,n,r2,adj_r2
pc_chair,would+say,662,0.0,(3),const,const,0.95356,0.23952,7e-05,***,80,0.01793,-0.00758
pc_chair,would+say,662,0.0,(3),cfnai_ma3_lag2,CFNAI-MA3,0.00018,0.04219,0.99656,,80,0.01793,-0.00758
pc_chair,would+say,662,0.0,(3),vix_pre28,VIX,0.01482,0.01032,0.15116,,80,0.01793,-0.00758
pc_chair,would+say,662,0.0,(6) excl-2020,const,const,0.78559,0.29438,0.00762,***,71,0.0455,0.01742
pc_chair,would+say,662,0.0,(6) excl-2020,cfnai_ma3_lag2,CFNAI-MA3,-0.51443,0.28848,0.07455,*,71,0.0455,0.01742
pc_chair,would+say,662,0.0,(6) excl-2020,vix_pre28,VIX,0.02218,0.01655,0.1802,,71,0.0455,0.01742
pc_chair,would+say,662,0.0,(7) Δ,const,const,-0.0123,0.05059,0.80783,,79,0.03096,0.00546
pc_chair,would+say,662,0.0,(7) Δ,d_cfnai,ΔCFNAI,0.09137,0.04361,0.03615,**,79,0.03096,0.00546
pc_chair,would+say,662,0.0,(7) Δ,d_vix,ΔVIX,-0.01955,0.0204,0.33773,,79,0.03096,0.00546
pc_chair,would+say,662,0.0,(8) Δ excl-2020,const,const,-0.02809,0.05466,0.60731,,70,0.00548,-0.02421
pc_chair,would+say,662,0.0,(8) Δ excl-2020,d_cfnai,ΔCFNAI,-0.29683,0.38412,0.43967,,70,0.00548,-0.02421
pc_chair,would+say,662,0.0,(8) Δ excl-2020,d_vix,ΔVIX,0.00295,0.0234,0.89959,,70,0.00548,-0.02421
pc_chair,will+continue,243,0.025,(3),const,const,0.4586,0.15261,0.00266,***,80,0.00467,-0.02118
pc_chair,will+continue,243,0.025,(3),cfnai_ma3_lag2,CFNAI-MA3,0.01872,0.01426,0.1892,,80,0.00467,-0.02118
pc_chair,will+continue,243,0.025,(3),vix_pre28,VIX,0.00132,0.0066,0.84169,,80,0.00467,-0.02118
