layer,modal,vclass,n,share
min_committee,will,activity,11,0.2973
min_committee,will,copular_adj,8,0.2162
min_committee,will,policy_action,6,0.1622
min_committee,will,aspectual,4,0.1081
min_committee,will,other,2,0.0541
min_committee,will,causative,2,0.0541
min_committee,will,occurrence,2,0.0541
min_committee,will,mental,2,0.0541
min_committee,would,copular_adj,126,0.1752
min_committee,would,aspectual,116,0.1613
min_committee,would,activity,108,0.1502
min_committee,would,occurrence,89,0.1238
min_committee,would,mental,71,0.0987
min_committee,would,policy_action,56,0.0779
min_committee,would,existence,52,0.0723
min_committee,would,causative,48,0.0668
min_committee,would,other,26,0.0362
min_committee,would,communication,24,0.0334
min_committee,would,copular_nom,3,0.0042
min_committee,could,causative,55,0.6627
min_committee,could,other,6,0.0723
min_committee,could,activity,6,0.0723
min_committee,could,copular_adj,5,0.0602
min_committee,could,occurrence,4,0.0482
min_committee,could,policy_action,3,0.0361
min_committee,could,copular_nom,2,0.0241
min_committee,could,existence,2,0.0241
min_committee,should,communication,38,0.4471
min_committee,should,activity,21,0.2471
min_committee,should,other,12,0.1412
min_committee,should,aspectual,5,0.0588
min_committee,should,mental,3,0.0353
min_committee,should,existence,2,0.0235
min_committee,should,occurrence,2,0.0235
min_committee,should,copular_adj,1,0.0118
min_committee,should,causative,1,0.0118
min_committee,may,causative,14,0.4516
min_committee,may,copular_adj,13,0.4194
min_committee,may,occurrence,3,0.0968
min_committee,may,policy_action,1,0.0323
