key,unit,period,macro,lag,p_text_to_macro,p_macro_to_text,n,q_text_to_macro
speech,ALL,T1,cfnai,1,0.7337,0.2825,124,0.9678
speech,ALL,T1,cfnai,2,0.6389,0.3461,124,0.9646
speech,ALL,T1,cfnai,3,0.8218,0.2882,124,0.9988
speech,ALL,T1,vix,1,0.962,0.7088,124,0.9678
speech,ALL,T1,vix,2,0.8616,0.4409,124,0.9646
speech,ALL,T1,vix,3,0.9531,0.4958,124,0.9988
speech,ALL,T2,cfnai,1,0.528,0.7315,118,0.8724
speech,ALL,T2,cfnai,2,0.6896,0.8219,118,0.9036
speech,ALL,T2,cfnai,3,0.8275,0.4548,118,0.9872
speech,ALL,T2,vix,1,0.9146,0.7413,118,0.961
speech,ALL,T2,vix,2,0.9877,0.7173,118,0.9877
speech,ALL,T2,vix,3,0.9564,0.7514,118,0.9965
speech,can,T1,cfnai,1,0.5342,0.0002,124,0.9678
speech,can,T1,cfnai,2,0.2606,0.001,124,0.9646
speech,can,T1,cfnai,3,0.2509,0.0007,124,0.9988
speech,can,T1,vix,1,0.5258,0.0682,124,0.9678
speech,can,T1,vix,2,0.4983,0.0524,124,0.9646
speech,can,T1,vix,3,0.7151,0.1155,124,0.9988
speech,can,T2,cfnai,1,0.961,0.977,118,0.961
speech,can,T2,cfnai,2,0.3719,0.7208,118,0.6786
speech,can,T2,cfnai,3,0.5844,0.9653,118,0.976
speech,can,T2,vix,1,0.1392,0.9841,118,0.686
speech,can,T2,vix,2,0.308,0.3901,118,0.6786
speech,can,T2,vix,3,0.5161,0.375,118,0.976
speech,can/other,T1,cfnai,1,0.5114,0.0366,124,0.9678
speech,can/other,T1,cfnai,2,0.747,0.0775,124,0.9646
speech,can/other,T1,cfnai,3,0.7085,0.0001,124,0.9988
speech,can/other,T1,vix,1,0.436,0.4273,124,0.9678
speech,can/other,T1,vix,2,0.7516,0.1169,124,0.9646
speech,can/other,T1,vix,3,0.8913,0.0088,124,0.9988
speech,can/other,T2,cfnai,1,0.6853,0.5718,118,0.9597
speech,can/other,T2,cfnai,2,0.2561,0.4415,118,0.6786
speech,can/other,T2,cfnai,3,0.3784,0.1757,118,0.976
speech,can/other,T2,vix,1,0.2759,0.4759,118,0.686
speech,can/other,T2,vix,2,0.4108,0.6001,118,0.6786
speech,can/other,T2,vix,3,0.6726,0.7064,118,0.976
speech,could,T1,cfnai,1,0.206,0.5642,124,0.8699
speech,could,T1,cfnai,2,0.4724,0.7584,124,0.9646
speech,could,T1,cfnai,3,0.4331,0.7806,124,0.9988
speech,could,T1,vix,1,0.7108,0.398,124,0.9678
speech,could,T1,vix,2,0.7745,0.0997,124,0.9646
speech,could,T1,vix,3,0.8717,0.1426,124,0.9988
speech,could,T2,cfnai,1,0.1985,0.8225,118,0.686
speech,could,T2,cfnai,2,0.2941,0.9479,118,0.6786
speech,could,T2,cfnai,3,0.1498,0.9701,118,0.9049
speech,could,T2,vix,1,0.3375,0.1789,118,0.686
speech,could,T2,vix,2,0.4817,0.0743,118,0.7091
speech,could,T2,vix,3,0.7192,0.0931,118,0.976
speech,may,T1,cfnai,1,0.8292,0.8139,124,0.9678
speech,may,T1,cfnai,2,0.9661,0.5916,124,0.9798
speech,may,T1,cfnai,3,0.9785,0.7933,124,0.9988
speech,may,T1,vix,1,0.6991,0.2241,124,0.9678
speech,may,T1,vix,2,0.8885,0.343,124,0.9646
speech,may,T1,vix,3,0.9694,0.4934,124,0.9988
speech,may,T2,cfnai,1,0.4724,0.3556,118,0.8159
speech,may,T2,cfnai,2,0.7774,0.6343,118,0.9529
speech,may,T2,cfnai,3,0.7861,0.4425,118,0.9872
speech,may,T2,vix,1,0.9193,0.3059,118,0.961
speech,may,T2,vix,2,0.9773,0.5525,118,0.9877
speech,may,T2,vix,3,0.9965,0.5274,118,0.9965
speech,should,T1,cfnai,1,0.7071,0.222,124,0.9678
speech,should,T1,cfnai,2,0.9218,0.5008,124,0.9731
speech,should,T1,cfnai,3,0.9988,0.6616,124,0.9988
speech,should,T1,vix,1,0.0783,0.0926,124,0.744
speech,should,T1,vix,2,0.261,0.0649,124,0.9646
speech,should,T1,vix,3,0.42,0.1186,124,0.9988
speech,should,T2,cfnai,1,0.7515,0.7537,118,0.9597
speech,should,T2,cfnai,2,0.9178,0.7492,118,0.9877
speech,should,T2,cfnai,3,0.8313,0.5499,118,0.9872
