layer,unit,n_tokens,zero_share,spec,var,label,coef,se,p,stars,n,r2,adj_r2
speech_chair,will+continue,77,0.621,(3),const,const,0.29801,0.20006,0.13633,,124,0.00281,-0.01368
speech_chair,will+continue,77,0.621,(3),cfnai_ma3_lag2,CFNAI-MA3,0.02752,0.03609,0.44573,,124,0.00281,-0.01368
speech_chair,will+continue,77,0.621,(3),vix_pre28,VIX,0.0052,0.0109,0.63356,,124,0.00281,-0.01368
speech_chair,will+continue,77,0.621,(6) excl-2020,const,const,0.39942,0.3734,0.28476,,118,9e-05,-0.0173
speech_chair,will+continue,77,0.621,(6) excl-2020,cfnai_ma3_lag2,CFNAI-MA3,0.03454,0.32587,0.91559,,118,9e-05,-0.0173
speech_chair,will+continue,77,0.621,(6) excl-2020,vix_pre28,VIX,-0.00069,0.02249,0.97561,,118,9e-05,-0.0173
speech_chair,will+continue,77,0.621,(7) Δ,const,const,-0.00021,0.04109,0.99589,,123,0.00232,-0.01431
speech_chair,will+continue,77,0.621,(7) Δ,d_cfnai,ΔCFNAI,-0.01841,0.01875,0.3262,,123,0.00232,-0.01431
speech_chair,will+continue,77,0.621,(7) Δ,d_vix,ΔVIX,0.00749,0.01485,0.61415,,123,0.00232,-0.01431
speech_chair,will+continue,77,0.621,(8) Δ excl-2020,const,const,-0.00675,0.04493,0.88056,,117,0.00887,-0.00852
speech_chair,will+continue,77,0.621,(8) Δ excl-2020,d_cfnai,ΔCFNAI,-0.13458,0.11465,0.24049,,117,0.00887,-0.00852
speech_chair,will+continue,77,0.621,(8) Δ excl-2020,d_vix,ΔVIX,-0.025,0.0443,0.57257,,117,0.00887,-0.00852
speech_chair,will+discuss,55,0.694,(3),const,const,0.20605,0.06794,0.00242,***,124,0.00044,-0.01608
speech_chair,will+discuss,55,0.694,(3),cfnai_ma3_lag2,CFNAI-MA3,-0.0102,0.02059,0.62021,,124,0.00044,-0.01608
speech_chair,will+discuss,55,0.694,(3),vix_pre28,VIX,-0.00037,0.00307,0.90366,,124,0.00044,-0.01608
speech_chair,will+discuss,55,0.694,(6) excl-2020,const,const,0.12733,0.12606,0.31243,,118,0.00916,-0.00807
speech_chair,will+discuss,55,0.694,(6) excl-2020,cfnai_ma3_lag2,CFNAI-MA3,-0.20066,0.18523,0.27865,,118,0.00916,-0.00807
speech_chair,will+discuss,55,0.694,(6) excl-2020,vix_pre28,VIX,0.00409,0.00726,0.57281,,118,0.00916,-0.00807
speech_chair,will+discuss,55,0.694,(7) Δ,const,const,-0.00294,0.02134,0.89055,,123,0.00352,-0.01309
speech_chair,will+discuss,55,0.694,(7) Δ,d_cfnai,ΔCFNAI,-0.03221,0.02284,0.15848,,123,0.00352,-0.01309
speech_chair,will+discuss,55,0.694,(7) Δ,d_vix,ΔVIX,-0.00194,0.00665,0.7702,,123,0.00352,-0.01309
speech_chair,will+discuss,55,0.694,(8) Δ excl-2020,const,const,-0.01053,0.02252,0.64015,,117,0.02218,0.00503
speech_chair,will+discuss,55,0.694,(8) Δ excl-2020,d_cfnai,ΔCFNAI,-0.27909,0.12202,0.02219,**,117,0.02218,0.00503
speech_chair,will+discuss,55,0.694,(8) Δ excl-2020,d_vix,ΔVIX,0.01562,0.02127,0.46268,,117,0.02218,0.00503
speech_chair,would+like,54,0.677,(3),const,const,0.50447,0.10969,0.0,***,124,0.03027,0.01424
speech_chair,would+like,54,0.677,(3),cfnai_ma3_lag2,CFNAI-MA3,0.03184,0.01912,0.09593,*,124,0.03027,0.01424
speech_chair,would+like,54,0.677,(3),vix_pre28,VIX,-0.01289,0.00497,0.00941,***,124,0.03027,0.01424
speech_chair,would+like,54,0.677,(6) excl-2020,const,const,0.6773,0.16087,3e-05,***,118,0.04285,0.02621
speech_chair,would+like,54,0.677,(6) excl-2020,cfnai_ma3_lag2,CFNAI-MA3,0.42524,0.20384,0.03697,**,118,0.04285,0.02621
speech_chair,would+like,54,0.677,(6) excl-2020,vix_pre28,VIX,-0.02258,0.00843,0.00736,***,118,0.04285,0.02621
speech_chair,would+like,54,0.677,(7) Δ,const,const,0.00752,0.03019,0.80341,,123,0.00107,-0.01558
speech_chair,would+like,54,0.677,(7) Δ,d_cfnai,ΔCFNAI,0.00287,0.00928,0.75682,,123,0.00107,-0.01558
speech_chair,would+like,54,0.677,(7) Δ,d_vix,ΔVIX,-0.00398,0.005,0.42665,,123,0.00107,-0.01558
speech_chair,would+like,54,0.677,(8) Δ excl-2020,const,const,0.0075,0.03094,0.8085,,117,0.00432,-0.01314
speech_chair,would+like,54,0.677,(8) Δ excl-2020,d_cfnai,ΔCFNAI,0.03972,0.10502,0.70527,,117,0.00432,-0.01314
speech_chair,would+like,54,0.677,(8) Δ excl-2020,d_vix,ΔVIX,-0.01606,0.01622,0.32221,,117,0.00432,-0.01314
speech_chair,will+need,36,0.831,(3),const,const,0.19695,0.16026,0.21909,,124,0.00152,-0.01498
speech_chair,will+need,36,0.831,(3),cfnai_ma3_lag2,CFNAI-MA3,-0.03682,0.03915,0.34693,,124,0.00152,-0.01498
speech_chair,will+need,36,0.831,(3),vix_pre28,VIX,-0.00188,0.00644,0.7698,,124,0.00152,-0.01498
speech_chair,will+need,36,0.831,(6) excl-2020,const,const,0.21422,0.14203,0.13148,,118,0.01317,-0.004
speech_chair,will+need,36,0.831,(6) excl-2020,cfnai_ma3_lag2,CFNAI-MA3,-0.44064,0.29616,0.13679,,118,0.01317,-0.004
speech_chair,will+need,36,0.831,(6) excl-2020,vix_pre28,VIX,-0.0039,0.0065,0.54854,,118,0.01317,-0.004
speech_chair,will+need,36,0.831,(7) Δ,const,const,0.00041,0.04558,0.99285,,123,0.00683,-0.00973
speech_chair,will+need,36,0.831,(7) Δ,d_cfnai,ΔCFNAI,-0.00344,0.02006,0.8637,,123,0.00683,-0.00973
speech_chair,will+need,36,0.831,(7) Δ,d_vix,ΔVIX,-0.01607,0.00658,0.01456,**,123,0.00683,-0.00973
speech_chair,will+need,36,0.831,(8) Δ excl-2020,const,const,0.00161,0.04852,0.97353,,117,0.0071,-0.01032
speech_chair,will+need,36,0.831,(8) Δ excl-2020,d_cfnai,ΔCFNAI,0.14626,0.18517,0.42962,,117,0.0071,-0.01032
speech_chair,will+need,36,0.831,(8) Δ excl-2020,d_vix,ΔVIX,-0.03156,0.01408,0.02499,**,117,0.0071,-0.01032
speech_chair,can+help,22,0.863,(3),const,const,0.16896,0.08989,0.06017,*,124,0.00401,-0.01246
speech_chair,can+help,22,0.863,(3),cfnai_ma3_lag2,CFNAI-MA3,0.02371,0.01374,0.08428,*,124,0.00401,-0.01246
speech_chair,can+help,22,0.863,(3),vix_pre28,VIX,-0.00202,0.0048,0.67364,,124,0.00401,-0.01246
speech_chair,can+help,22,0.863,(6) excl-2020,const,const,0.16944,0.20184,0.40121,,118,0.01008,-0.00713
speech_chair,can+help,22,0.863,(6) excl-2020,cfnai_ma3_lag2,CFNAI-MA3,0.21524,0.17865,0.22829,,118,0.01008,-0.00713
speech_chair,can+help,22,0.863,(6) excl-2020,vix_pre28,VIX,-0.00152,0.01203,0.89925,,118,0.01008,-0.00713
speech_chair,can+help,22,0.863,(7) Δ,const,const,-7e-05,0.02131,0.99727,,123,0.00085,-0.0158
speech_chair,can+help,22,0.863,(7) Δ,d_cfnai,ΔCFNAI,-0.00213,0.00509,0.67513,,123,0.00085,-0.0158
speech_chair,can+help,22,0.863,(7) Δ,d_vix,ΔVIX,0.00276,0.00415,0.50597,,123,0.00085,-0.0158
speech_chair,can+help,22,0.863,(8) Δ excl-2020,const,const,0.00022,0.02208,0.99198,,117,0.00349,-0.01399
speech_chair,can+help,22,0.863,(8) Δ excl-2020,d_cfnai,ΔCFNAI,-0.02716,0.05992,0.65034,,117,0.00349,-0.01399
speech_chair,can+help,22,0.863,(8) Δ excl-2020,d_vix,ΔVIX,0.0112,0.01433,0.43422,,117,0.00349,-0.01399
speech_chair,will+be+appropriate,21,0.863,(3),const,const,0.04073,0.03786,0.28198,,124,0.02104,0.00486
speech_chair,will+be+appropriate,21,0.863,(3),cfnai_ma3_lag2,CFNAI-MA3,0.02808,0.01426,0.04891,**,124,0.02104,0.00486
speech_chair,will+be+appropriate,21,0.863,(3),vix_pre28,VIX,0.0011,0.00213,0.60431,,124,0.02104,0.00486
speech_chair,will+be+appropriate,21,0.863,(6) excl-2020,const,const,0.02455,0.04913,0.61728,,118,0.0024,-0.01495
speech_chair,will+be+appropriate,21,0.863,(6) excl-2020,cfnai_ma3_lag2,CFNAI-MA3,-0.00516,0.07223,0.9431,,118,0.0024,-0.01495
speech_chair,will+be+appropriate,21,0.863,(6) excl-2020,vix_pre28,VIX,0.00188,0.00294,0.52337,,118,0.0024,-0.01495
speech_chair,will+be+appropriate,21,0.863,(7) Δ,const,const,4e-05,0.00887,0.99643,,123,0.01724,0.00086
speech_chair,will+be+appropriate,21,0.863,(7) Δ,d_cfnai,ΔCFNAI,0.03044,0.01299,0.01916,**,123,0.01724,0.00086
speech_chair,will+be+appropriate,21,0.863,(7) Δ,d_vix,ΔVIX,-0.00029,0.00219,0.89422,,123,0.01724,0.00086
speech_chair,will+be+appropriate,21,0.863,(8) Δ excl-2020,const,const,-0.00239,0.00983,0.80751,,117,0.00584,-0.0116
speech_chair,will+be+appropriate,21,0.863,(8) Δ excl-2020,d_cfnai,ΔCFNAI,0.05831,0.06178,0.34519,,117,0.00584,-0.0116
speech_chair,will+be+appropriate,21,0.863,(8) Δ excl-2020,d_vix,ΔVIX,-0.00236,0.00902,0.79381,,117,0.00584,-0.0116
speech_chair,would+be+appropriate,11,0.944,(3),const,const,0.03956,0.0256,0.12229,,124,0.00203,-0.01447
speech_chair,would+be+appropriate,11,0.944,(3),cfnai_ma3_lag2,CFNAI-MA3,0.00029,0.00301,0.9242,,124,0.00203,-0.01447
speech_chair,would+be+appropriate,11,0.944,(3),vix_pre28,VIX,-0.00083,0.00114,0.46676,,124,0.00203,-0.01447
speech_chair,would+be+appropriate,11,0.944,(6) excl-2020,const,const,0.03064,0.0473,0.51711,,118,0.00247,-0.01488
speech_chair,would+be+appropriate,11,0.944,(6) excl-2020,cfnai_ma3_lag2,CFNAI-MA3,-0.02845,0.05224,0.58596,,118,0.00247,-0.01488
speech_chair,would+be+appropriate,11,0.944,(6) excl-2020,vix_pre28,VIX,-0.00031,0.00269,0.90773,,118,0.00247,-0.01488
speech_chair,would+be+appropriate,11,0.944,(7) Δ,const,const,-0.00148,0.00692,0.83106,,123,1e-05,-0.01666
speech_chair,would+be+appropriate,11,0.944,(7) Δ,d_cfnai,ΔCFNAI,-0.00048,0.00221,0.82722,,123,1e-05,-0.01666
speech_chair,would+be+appropriate,11,0.944,(7) Δ,d_vix,ΔVIX,0.0,0.00049,0.99813,,123,1e-05,-0.01666
speech_chair,would+be+appropriate,11,0.944,(8) Δ excl-2020,const,const,-0.00175,0.00725,0.8094,,117,0.00012,-0.01742
speech_chair,would+be+appropriate,11,0.944,(8) Δ excl-2020,d_cfnai,ΔCFNAI,-0.00635,0.02622,0.80858,,117,0.00012,-0.01742
speech_chair,would+be+appropriate,11,0.944,(8) Δ excl-2020,d_vix,ΔVIX,6e-05,0.00215,0.97754,,117,0.00012,-0.01742
speech_chair,may+be+appropriate,6,0.96,(3),const,const,0.03605,0.01926,0.06124,*,124,0.00652,-0.0099
speech_chair,may+be+appropriate,6,0.96,(3),cfnai_ma3_lag2,CFNAI-MA3,0.00081,0.00194,0.67717,,124,0.00652,-0.0099
speech_chair,may+be+appropriate,6,0.96,(3),vix_pre28,VIX,-0.00109,0.00079,0.16726,,124,0.00652,-0.0099
