block,layer,series,N,mean,sd,min,max,zero_share,AR1
macro,min_committee,CFNAI-MA3 (m−2),99,-0.089,1.112,-7.55,4.58,,0.25
macro,min_committee,VIX pre-28d,99,18.003,5.93,10.19,42.376,,0.682
macro,min_committee,Unemployment gap (m−1),99,0.198,1.435,-1.034,8.741,,0.763
macro,min_committee,Core PCE gap (m−2),99,0.466,1.304,-1.005,3.606,,0.983
text,min_committee,ALL,99,15.236,2.998,6.224,21.127,0.0,0.485
text,min_committee,could,99,1.44,1.091,0.0,4.184,0.293,0.51
text,min_committee,should,99,1.264,1.461,0.0,6.729,0.455,0.618
text,min_committee,will,99,0.592,1.391,0.0,7.519,0.778,0.656
text,min_committee,would,99,11.434,3.192,4.225,18.265,0.0,0.539
text,pc_chair,ALL,80,20.043,2.968,14.058,28.589,0.0,0.186
text,pc_chair,can,80,2.958,1.161,0.431,6.539,0.0,0.416
text,pc_chair,could,80,1.168,0.621,0.0,3.185,0.013,0.204
text,pc_chair,may,80,0.903,0.472,0.0,2.362,0.013,0.169
text,pc_chair,should,80,0.938,0.551,0.0,3.069,0.013,0.254
text,pc_chair,will,80,8.2,2.545,3.33,17.139,0.0,0.348
text,pc_chair,would,80,5.875,1.663,3.005,9.585,0.0,-0.091
