modal,predicate,obs,exp,ratio,p,collostruction_strength,G2,layer
can,be+patient,3,0.02,136.86,2.3959842318497823e-07,6.62,31.03,min_committee
could,impede,46,3.99,11.54,6.185366086818481e-56,55.21,255.0,min_committee
could,be+patient,3,0.61,4.95,0.017007292900530987,1.77,5.92,min_committee
may,warrant,14,1.2,11.69,1.910121192445821e-13,12.72,55.2,min_committee
may,be+appropriate,13,2.69,4.84,3.547409417704074e-07,6.45,26.2,min_committee
should,affirm,14,1.24,11.27,6.644632761567436e-16,15.18,70.06,min_committee
should,help,20,2.66,7.51,1.4892342286906743e-15,14.83,64.85,min_committee
should,note,9,0.89,10.14,2.118209900460434e-09,8.67,38.17,min_committee
should,acknowledge,8,0.8,10.02,2.352111990553988e-08,7.63,33.36,min_committee
should,indicate,3,0.35,8.45,0.0025304172621098465,2.6,10.31,min_committee
should,continue,4,10.38,0.39,0.023623275493016238,-1.63,6.09,min_committee
will,move,5,0.42,11.77,2.5524339005826027e-05,4.59,18.47,min_committee
will,take,11,3.78,2.91,0.0006547382710503713,3.18,11.37,min_committee
will,be+appropriate,7,3.21,2.18,0.03432420431628377,1.46,3.99,min_committee
will,continue,4,4.52,0.89,1.0,0.0,0.07,min_committee
would,continue,109,87.81,1.24,1.5704465143254843e-07,6.8,29.2,min_committee
would,depend,51,38.28,1.33,3.986449451710869e-07,6.4,30.21,min_committee
would,be+prepared,46,34.52,1.33,1.8717183283306393e-06,5.73,27.17,min_committee
would,assess,49,37.53,1.31,1.2793812918466665e-05,4.89,21.86,min_committee
would,expand,29,21.77,1.33,0.0003015251640220831,3.52,16.94,min_committee
would,remain,27,20.26,1.33,0.0005056202129279696,3.3,15.76,min_committee
would,take,86,73.55,1.17,0.001884636857762066,2.72,10.77,min_committee
would,evolve,20,15.01,1.33,0.006530697579621523,2.19,11.62,min_committee
would,add,12,9.01,1.33,0.04475940234086551,1.35,6.94,min_committee
would,increase,12,9.76,1.23,0.20394643348643654,0.69,2.64,min_committee
would,occur,7,5.25,1.33,0.2025093505163485,0.69,4.03,min_committee
would,strengthen,12,9.76,1.23,0.20394643348643654,0.69,2.64,min_committee
would,monitor,15,12.76,1.18,0.26664014686745213,0.57,1.88,min_committee
would,rise,15,12.76,1.18,0.26664014686745213,0.57,1.88,min_committee
would,reduce,5,3.75,1.33,0.339717836616529,0.47,2.88,min_committee
would,use,5,3.75,1.33,0.339717836616529,0.47,2.88,min_committee
would,be+consistent,6,4.5,1.33,0.3457767509519633,0.46,3.46,min_committee
would,need,6,4.5,1.33,0.3457767509519633,0.46,3.46,min_committee
would,aim,9,7.51,1.2,0.46570800500828546,0.33,1.45,min_committee
would,return,8,6.75,1.18,0.46410491492112843,0.33,1.1,min_committee
would,weigh,4,3.0,1.33,0.5772421584779657,0.24,2.3,min_committee
would,be+appropriate,63,62.29,1.01,1.0,-0.0,0.04,min_committee
would,be+prudent,3,2.25,1.33,1.0,-0.0,1.73,min_committee
would,evaluate,3,3.0,1.0,1.0,0.0,0.0,min_committee
would,limit,3,2.25,1.33,1.0,-0.0,1.73,min_committee
would,stabilize,3,2.25,1.33,1.0,-0.0,1.73,min_committee
would,move,5,8.26,0.61,0.03315867608572217,-1.48,4.43,min_committee
would,warrant,21,27.77,0.76,0.011877910869940323,-1.93,6.13,min_committee
would,help,8,22.52,0.36,2.00463405945206e-08,-7.7,32.12,min_committee
can,everything,52,7.99,6.51,4.035060811841753e-42,41.39,188.68,pc_chair
can,do,159,60.42,2.63,1.6486181856333906e-34,33.78,149.83,pc_chair
can,can,13,1.96,6.64,1.977950559372115e-11,10.7,49.3,pc_chair
can,tell,34,12.05,2.82,2.9654422848525387e-09,8.53,34.99,pc_chair
can,see,100,57.1,1.75,7.570523526112594e-09,8.12,33.67,pc_chair
can,affect,33,11.9,2.77,8.550140397740975e-09,8.07,32.9,pc_chair
can,afford,8,1.21,6.64,2.61612911009943e-07,6.58,30.32,pc_chair
