key,unit,period,macro,lag,p_text_to_macro,p_macro_to_text,n,q_text_to_macro
minutes,ALL,T1,cfnai,1,0.9009,0.6483,99,0.9391
minutes,ALL,T1,cfnai,2,0.2448,0.8072,99,0.7055
minutes,ALL,T1,cfnai,3,0.2839,0.5478,99,0.7888
minutes,ALL,T1,vix,1,0.0776,0.266,99,0.9013
minutes,ALL,T1,vix,2,0.2224,0.5284,99,0.7055
minutes,ALL,T1,vix,3,0.0343,0.6482,99,0.2747
minutes,ALL,T2,cfnai,1,0.6572,0.1285,91,0.9756
minutes,ALL,T2,cfnai,2,0.6547,0.0632,91,0.9597
minutes,ALL,T2,cfnai,3,0.9941,0.0906,91,0.9941
minutes,ALL,T2,vix,1,0.8974,0.7533,91,0.9756
minutes,ALL,T2,vix,2,0.2956,0.6522,91,0.9597
minutes,ALL,T2,vix,3,0.3795,0.7877,91,0.9652
minutes,could,T1,cfnai,1,0.9156,0.9078,99,0.9391
minutes,could,T1,cfnai,2,0.0067,0.4843,99,0.2693
minutes,could,T1,cfnai,3,0.0075,0.4922,99,0.1001
minutes,could,T1,vix,1,0.0555,0.4207,99,0.9013
minutes,could,T1,vix,2,0.1034,0.5603,99,0.7055
minutes,could,T1,vix,3,0.002,0.6848,99,0.0807
minutes,could,T2,cfnai,1,0.7525,0.9782,91,0.9756
minutes,could,T2,cfnai,2,0.4421,0.9646,91,0.9597
minutes,could,T2,cfnai,3,0.4969,0.9786,91,0.9652
minutes,could,T2,vix,1,0.4791,0.7895,91,0.9126
minutes,could,T2,vix,2,0.2996,0.3919,91,0.9597
minutes,could,T2,vix,3,0.2123,0.6904,91,0.849
minutes,may,T1,cfnai,1,0.7777,0.6434,99,0.9013
minutes,may,T1,cfnai,2,0.7803,0.7247,99,0.8671
minutes,may,T1,cfnai,3,0.4737,0.8967,99,0.8012
minutes,may,T1,vix,1,0.7719,0.8626,99,0.9013
minutes,may,T1,vix,2,0.7156,0.0924,99,0.855
minutes,may,T1,vix,3,0.8012,0.0683,99,0.8902
minutes,may,T2,cfnai,1,0.3917,0.7542,91,0.85
minutes,may,T2,cfnai,2,0.7965,0.5748,91,0.9597
minutes,may,T2,cfnai,3,0.8866,0.6689,91,0.984
minutes,may,T2,vix,1,0.7738,0.4814,91,0.9756
minutes,may,T2,vix,2,0.7489,0.7684,91,0.9597
minutes,may,T2,vix,3,0.9141,0.8573,91,0.984
minutes,should,T1,cfnai,1,0.9956,0.778,99,0.9956
minutes,should,T1,cfnai,2,0.8144,0.7519,99,0.8671
minutes,should,T1,cfnai,3,0.7606,0.8404,99,0.8902
minutes,should,T1,vix,1,0.6541,0.3194,99,0.9013
minutes,should,T1,vix,2,0.7076,0.2944,99,0.855
minutes,should,T1,vix,3,0.3579,0.4675,99,0.7888
minutes,should,T2,cfnai,1,0.849,0.1258,91,0.9756
minutes,should,T2,cfnai,2,0.7056,0.2375,91,0.9597
